Ace Trainer♀ Alaina,Alaina,5,6
5
Team 1
Jynx,Mean Look,Perish Song,Protect,Lovely Kiss,Bright Powder,Bold,Dry Skin,31,15,31,31,15,15,148,4,148,148,4,4
Dodrio,Drill Peck,Tri Attack,Sleep Talk,Rest,Chesto Berry,Adamant,Early Bird,31,31,10,10,10,31,148,148,0,0,0,148
Cloyster,Icicle Spear,Rock Blast,Razor Shell,Shell Smash,Focus Sash,Adamant,Skill Link,31,31,31,31,31,31,148,148,0,0,0,148
Team 2
Lopunny,Thunder Wave,Attract,Sweet Kiss,Focus Punch,Bright Powder,Careful,Limber,31,31,15,15,31,15,148,148,4,4,148,4
Manectric,Spark,Ice Fang,Bite,Howl,Magnet,Jolly,Lightning Rod,31,31,15,15,15,31,148,148,4,4,4,148
Blaziken,Aerial Ace,Flare Blitz,Will-o-wisp,Bulk Up,Shell Bell,Adamant,Blaze,31,31,31,31,31,31,148,148,4,4,4,148
6
Team 3
Shuckle,Wrap,Power Split,Toxic,Rest,Chesto Berry,Careful,Sturdy,31,20,31,0,31,20,204,60,0,0,204,0
Slowking,Psychic,Scald,Trick Room,Ice Beam,Wise Glasses,Modest,Own Tempo,31,0,31,31,20,0,204,0,60,204,0,0
Starmie,Hydro Pump,Thunderbolt,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,0,20,31,20,31,52,0,0,204,0,252
