Idol Alana,Alana,3,4
3
Team 1
Croconaw,Slash,Water Pulse,Bite,Scary Face,Scope Lens,Docile,Torrent,31,31,31,0,0,0,108,108,108,0,0,0
Onix,Rock Slide,Bind,Dragon Breath,Sandstorm,Sitrus Berry,Adamant,Sturdy,31,31,0,0,0,0,108,108,0,0,0,0
Metang,Metal Claw,Confusion,Take Down,Scary Face,Focus Band,Hardy,Clear Body,31,31,0,0,0,31,108,108,0,0,0,108
Team 2
Sudowoodo,Rock Slide,Double-edge,Sandstorm,Block,Hard Stone,Hardy,Rock Head,31,31,31,31,31,31,108,108,0,0,0,108
Lileep,Giga Drain,Acid,Ingrain,Confuse Ray,Lax Incense,Docile,Storm Drain,31,0,0,31,0,0,108,0,0,108,0,0
Mawile,Crunch,Fake Tears,Iron Defense,Baton Pass,Bright Powder,Adamant,Intimidate,31,31,0,0,0,0,108,108,0,0,0,0
4
Team 3
Omastar,Bubble Beam,Rock Blast,Tickle,Ancient Power,Shell Bell,Quirky,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Tropius,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing,Sitrus Berry,Hardy,Chlorophyll,31,31,10,10,10,31,148,148,0,0,0,148
Rotom,Thunderbolt,Shadow Ball,Thunder Wave,Confuse Ray,Cheri Berry,Modest,Levitate,31,0,0,31,0,31,148,0,0,148,0,148
