Psychic Aliyah,Aliyah,4,5
4
Team 1
Cacturne,Seed Bomb,Sucker Punch,Poison Jab,Revenge,Scope Lens,Jolly,Water Absorb,31,31,10,10,10,31,148,148,0,0,0,148
Piloswine,Rock Tomb,Earthquake,Ice Shard,Light Screen,Soft Sand,Adamant,Thick Fat,31,31,31,0,0,0,148,148,148,0,0,0
Hitmonchan,Mach Punch,Ice Punch,Detect,Counter,King's Rock,Adamant,Iron Fist,31,31,0,0,0,31,148,148,0,0,0,148
Team 2
Hitmonchan,Mach Punch,Ice Punch,Detect,Counter,King's Rock,Adamant,Iron Fist,31,31,0,0,0,31,148,148,0,0,0,148
Jumpluff,Aerial Ace,Swagger,Psych Up,Synthesis,Lax Incense,Docile,Chlorophyll,31,0,0,31,0,31,148,0,0,148,0,148
Seaking,Water Pulse,Psybeam,Poison Jab,Agility,Sitrus Berry,Docile,Lightning Rod,31,31,0,31,0,0,148,148,0,148,0,0
Team 3
Bellossom,Solar Beam,Safeguard,Sunny Day,Synthesis,Power Herb,Modest,Chlorophyll,31,10,10,31,10,31,148,0,0,148,0,148
Swalot,Stockpile,Ice Beam,Shadow Ball,Sludge Bomb,Black Sludge,Modest,Sticky Hold,31,10,10,31,10,31,148,0,0,148,0,148
Golbat,Poison Fang,Confuse Ray,Wing Attack,Steel Wing,Scope Lens,Jolly,Inner Focus,31,31,0,0,0,31,148,148,0,0,0,148
Team 4
Octillery,Octazooka,Ice Beam,Psychic,Protect,Leftovers,Modest,Moody,31,10,10,31,10,31,148,0,0,148,0,148
Wigglytuff,Sing,Disable,Wish,Dazzling Gleam,Silk Scarf,Relaxed,Competitive,31,0,31,0,31,0,108,0,108,0,108,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
5
Team 5
Gastrodon,Mirror Coat,Recover,Waterfall,Earthquake,Leftovers,Careful,Storm Drain,31,31,15,15,31,15,148,148,4,4,148,4
Mantine,Bubble Beam,Aerial Ace,Rain Dance,Psybeam,Mystic Water,Docile,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
Clefable,Moonblast,Flamethrower,Thunderbolt,Moonlight,Life Orb,Modest,Magic Guard,31,10,10,31,10,31,148,0,0,148,0,148
