Dragon Tamer Alonso,Alonso,7,M
7
Team 1
Crobat,Brave Bird,Zen Headbutt,Cross Poison,U-turn,Sharp Beak,Jolly,Inner Focus,31,31,25,0,25,31,36,220,0,0,0,252
Dragonite,Outrage,Aqua Tail,Iron Tail,Stone Edge,Wide Lens,Adamant,Multiscale,31,31,25,0,25,31,36,252,0,0,0,220
Probopass,Rock Polish,Stealth Rock,Lock-on,Stone Edge,Rock Incense,Impish,Sturdy,31,31,31,31,31,31,220,44,220,0,0,0
M
Team 2
Milotic,Hydro Pump,Ice Beam,Recover,Hypnosis,Salac Berry,Timid,Competitive,31,0,25,31,25,31,36,0,0,220,0,252
Slowking,Psychic,Scald,Trick Room,Ice Beam,Wise Glasses,Modest,Own Tempo,31,0,31,31,20,0,204,0,60,204,0,0
Weavile,Night Slash,Ice Punch,Ice Shard,Shadow Claw,Razor Claw,Jolly,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Team 3
Heracross,Close Combat,Aerial Ace,Night Slash,Bulk Up,Scope Lens,Adamant,Moxie,31,31,31,0,31,31,4,252,0,0,0,252
Forretress,Gyro Ball,Earthquake,Explosion,Rock Tomb,Custap Berry,Brave,Sturdy,31,31,31,0,31,0,252,252,4,0,0,0
Scizor,Swords Dance,Double Team,Bullet Punch,Roost,Bright Powder,Careful,Technician,31,31,31,0,31,31,236,20,0,0,252,0
