Rancher Alton,Alton,7,M
7
Team 1
Espeon,Light Screen,Psychic,Shadow Ball,Dazzling Gleam,Focus Sash,Timid,Magic Bounce,31,0,25,31,25,31,44,0,0,220,0,220
Torterra,Leaf Storm,Worry Seed,Earthquake,Bite,White Herb,Quiet,Overgrow,31,31,25,31,25,0,220,44,0,220,0,0
Leafeon,Synthesis,Leaf Blade,Leech Seed,Yawn,Leftovers,Adamant,Chlorophyll,31,31,25,0,25,31,220,220,0,0,0,44
Team 2
Dugtrio,Swagger,Attract,Sand Attack,Sucker Punch,Bright Powder,Careful,Arena Trap,25,31,25,0,31,31,0,220,0,0,220,44
Honchkrow,Night Slash,Sky Attack,Brave Bird,Payback,Power Herb,Jolly,Super Luck,31,31,20,0,20,31,60,204,0,0,0,204
Poliwrath,Hydro Pump,Ice Beam,Focus Blast,Mind Reader,Rindo Berry,Modest,Water Absorb,31,0,20,31,20,31,204,0,0,204,0,60
M
Team 3
Skarmory,Drill Peck,Metal Sound,Double Team,Sand Attack,Occa Berry,Jolly,Sturdy,31,31,31,0,31,31,4,252,0,0,0,252
Staraptor,Brave Bird,Double-edge,U-turn,Feather Dance,Muscle Band,Adamant,Reckless,31,31,31,31,31,31,4,252,0,0,0,252
Articuno,Sheer Cold,Ice Beam,Aerial Ace,Roar,Wacan Berry,Calm,Pressure,31,31,31,31,31,31,252,0,0,4,252,0
Team 4
Politoed,Surf,Focus Blast,Ice Beam,Perish Song,Bright Powder,Bold,Drizzle,31,0,31,31,31,31,252,0,252,4,0,0
Ampharos,Thunder Wave,Charge Beam,Dragon Pulse,Rest,Chesto Berry,Bold,Static,31,31,31,31,31,31,252,0,252,0,4,0
Blissey,Soft-boiled,Tri Attack,Thunderbolt,Flamethrower,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,252,252,0,4
