Bird Keeper Anissa,Anissa,M
M
Team 1
Latios,Draco Meteor,Psychic,Thunder,Hyper Beam,White Herb,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Entei,Fire Blast,Extrasensory,Shadow Ball,Calm Mind,Leftovers,Timid,Pressure,31,31,31,31,31,31,252,0,0,4,0,252
Golduck,Swagger,Psych Up,Waterfall,Cross Chop,Muscle Band,Adamant,Cloud Nine,31,31,31,31,31,31,4,252,0,0,0,252
Team 2
Porygon2,Ice Beam,Defense Curl,Recover,Tri Attack,Wise Glasses,Bold,Trace,31,0,31,31,31,31,252,0,252,4,0,0
Dugtrio,Fissure,Earthquake,Aerial Ace,Night Slash,Razor Claw,Jolly,Arena Trap,31,31,31,0,31,31,4,252,0,0,0,252
Donphan,Earthquake,Stone Edge,Thunder Fang,Ice Shard,Bright Powder,Adamant,Sturdy,31,31,31,31,31,31,4,252,0,0,0,252
Team 3
Heatran,Magma Storm,Flash Cannon,Earth Power,Dragon Pulse,Choice Scarf,Modest,Flash Fire,31,0,31,31,31,31,4,0,0,252,0,252
Moltres,Mystical Fire,Hurricane,Will-o-wisp,Roost,Lax Incense,Bold,Flame Body,31,31,31,31,31,31,252,0,252,4,0,0
Feraligatr,Waterfall,Ice Punch,Crunch,Dragon Dance,Life Orb,Jolly,Sheer Force,31,31,31,31,31,31,20,252,0,0,0,236
Team 4
Heatran,Magma Storm,Flash Cannon,Earth Power,Dragon Pulse,Choice Scarf,Modest,Flash Fire,31,0,31,31,31,31,4,0,0,252,0,252
Zapdos,Discharge,Volt Switch,Roost,Hurricane,Magnet,Bold,Static,31,31,31,31,31,31,252,0,252,4,0,0
Breloom,Spore,Mach Punch,Counter,Bullet Seed,Focus Sash,Jolly,Technician,31,31,31,31,31,31,4,252,0,0,0,252
