Veteran Antony,Antony,7,M
7
Team 1
Togekiss,Extreme Speed,Aerial Ace,Steel Wing,Roost,Wide Lens,Adamant,Hustle,31,31,25,0,25,31,44,220,0,0,0,220
Slaking,Counter,Encore,Body Slam,Slack Off,Sitrus Berry,Careful,Truant,31,31,25,0,31,25,44,220,0,0,220,0
Marowak,Earthquake,Double-edge,Aerial Ace,Brick Break,Thick Club,Jolly,Battle Armor,31,31,31,31,31,31,44,220,0,0,0,220
M
Team 2
Magmortar,Overheat,Thunderbolt,Psychic,Belch,Sitrus Berry,Modest,Flame Body,31,0,25,31,25,31,44,0,0,220,0,220
Bronzong,Trick Room,Gyro Ball,Flash Cannon,Hypnosis,Twisted Spoon,Quiet,Levitate,31,31,20,31,20,0,204,0,60,204,0,0
Alakazam,Psyshock,Psychic,Focus Blast,Energy Ball,Life Orb,Modest,Magic Guard,31,0,20,31,20,31,60,0,0,204,0,204
Team 3
Skuntank,Night Slash,Poison Jab,Explosion,Flamethrower,Shuca Berry,Jolly,Aftermath,31,31,31,31,31,31,4,252,0,0,0,252
Exeggutor,Leech Seed,Worry Seed,Bullet Seed,Psychic,Miracle Seed,Jolly,Chlorophyll,31,31,31,0,31,31,4,252,0,0,0,252
Regigigas,Thunderbolt,Focus Blast,Earthquake,Drain Punch,Shell Bell,Quiet,Slow Start,31,31,31,31,31,31,252,124,0,124,4,4
