Worker Antwan,Antwan,3,4
3
Team 1
Castform,Ember,Water Pulse,Shock Wave,Weather Ball,Persim Berry,Hasty,Forecast,31,0,0,31,0,31,108,0,0,108,0,108
Wartortle,Aqua Tail,Bite,Rapid Spin,Yawn,Focus Band,Adamant,Torrent,31,31,0,0,31,0,108,108,0,0,108,0
Mothim,Psybeam,Gust,Poison Powder,Bug Buzz,Coba Berry,Modest,Tinted Lens,31,0,0,31,0,31,108,0,0,108,0,108
Team 2
Lunatone,Confusion,Cosmic Power,Light Screen,Sandstorm,Sitrus Berry,Quiet,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Chimecho,Psychic,Take Down,Heal Bell,Safeguard,Twisted Spoon,Sassy,Levitate,31,0,31,31,0,0,108,0,108,108,0,0
Bibarel,Defense Curl,Rollout,Waterfall,Yawn,Metronome,Adamant,Simple,31,31,31,0,0,0,108,108,108,0,0,0
4
Team 3
Clefable,Moonblast,Flamethrower,Thunderbolt,Moonlight,Life Orb,Modest,Magic Guard,31,10,10,31,10,31,148,0,0,148,0,148
Cacturne,Seed Bomb,Sucker Punch,Poison Jab,Revenge,Scope Lens,Jolly,Water Absorb,31,31,10,10,10,31,148,148,0,0,0,148
Venomoth,Bug Buzz,Psybeam,Sleep Powder,Skill Swap,Persim Berry,Quirky,Shield Dust,31,0,0,31,0,31,148,0,0,148,0,148
Team 4
Octillery,Octazooka,Ice Beam,Psychic,Protect,Leftovers,Modest,Moody,31,10,10,31,10,31,148,0,0,148,0,148
Piloswine,Rock Tomb,Earthquake,Ice Shard,Light Screen,Soft Sand,Adamant,Thick Fat,31,31,31,0,0,0,148,148,148,0,0,0
Dodrio,Drill Peck,Tri Attack,Sleep Talk,Rest,Chesto Berry,Adamant,Early Bird,31,31,10,10,10,31,148,148,0,0,0,148
