Lass Arianna,Arianna,1,2
1
Team 1
Chikorita,Body Slam,Bullet Seed,Growl,Light Screen,Bright Powder,Adamant,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Shinx,Spark,Bite,Light Screen,Thunder Wave,Sitrus Berry,Jolly,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Cubone,Bonemerang,Headbutt,Brick Break,Aerial Ace,Soft Sand,Adamant,Battle Armor,31,31,0,0,0,0,108,108,0,0,0,0
Team 2
Chikorita,Body Slam,Bullet Seed,Growl,Light Screen,Bright Powder,Adamant,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Shinx,Spark,Bite,Light Screen,Thunder Wave,Sitrus Berry,Jolly,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Natu,Night Shade,Future Sight,Psychic,Flash,Twisted Spoon,Relaxed,Magic Bounce,31,0,31,0,0,0,108,0,108,0,0,0
Team 3
Charmander,Fire Fang,Brick Break,Smokescreen,Scary Face,Scope Lens,Adamant,Blaze,31,31,0,0,0,0,108,108,0,0,0,0
Pikachu,Spark,Brick Break,Iron Tail,Quick Attack,Light Ball,Jolly,Lightning Rod,15,31,15,0,15,31,0,108,0,0,0,108
Lombre,Water Pulse,Fake Out,Brick Break,Absorb,Yache Berry,Quirky,Swift Swim,31,0,0,0,0,31,108,0,0,0,0,108
2
Team 4
Smoochum,Sweet Kiss,Sing,Confusion,Ice Beam,Bright Powder,Modest,Oblivious,31,0,0,31,0,0,108,0,0,108,0,0
Nosepass,Rock Slide,Shock Wave,Thunder Wave,Sandstorm,Hard Stone,Sassy,Sturdy,0,31,0,31,0,0,0,108,0,108,0,0
Ledian,Light Screen,Baton Pass,Swords Dance,Agility,Focus Band,Bashful,Early Bird,31,0,0,0,31,0,108,0,0,0,108,0
