Youngster Ben,Ben,1,2
1
Team 1
Shedinja,Shadow Sneak,Confuse Ray,X-scissor,Sand Attack,Lax Incense,Adamant,Wonder Guard,31,31,31,31,31,31,0,108,0,0,0,108
Bidoof,Defense Curl,Headbutt,Rollout,Yawn,Metronome,Adamant,Simple,31,31,0,0,0,0,108,108,0,0,0,0
Snover,Razor Leaf,Icy Wind,Blizzard,Ice Shard,Icy Rock,Relaxed,Snow Warning,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Larvitar,Thrash,Rock Slide,Dig,Bite,Persim Berry,Jolly,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Swablu,Take Down,Dream Eater,Sing,Attract,Mental Herb,Lonely,Cloud Nine,0,31,0,0,0,31,0,108,0,0,0,108
Cubone,Bonemerang,Headbutt,Brick Break,Aerial Ace,Soft Sand,Adamant,Battle Armor,31,31,0,0,0,0,108,108,0,0,0,0
Team 3
Charmander,Fire Fang,Brick Break,Smokescreen,Scary Face,Scope Lens,Adamant,Blaze,31,31,0,0,0,0,108,108,0,0,0,0
Swablu,Take Down,Dream Eater,Sing,Attract,Mental Herb,Lonely,Cloud Nine,0,31,0,0,0,31,0,108,0,0,0,108
Psyduck,Confusion,Fury Swipes,Aerial Ace,Disable,Persim Berry,Hasty,Cloud Nine,0,0,0,31,0,31,0,0,0,108,0,108
2
Team 4
Parasect,Slash,Psybeam,Spore,Flash,Sticky Barb,Rash,Effect Spore,31,0,0,0,0,31,108,0,0,0,0,108
Yanma,Bug Buzz,Air Slash,Double Team,Detect,Lax Incense,Modest,Speed Boost,0,0,0,31,0,31,0,0,0,108,0,108
Nosepass,Rock Slide,Shock Wave,Thunder Wave,Sandstorm,Hard Stone,Sassy,Sturdy,0,31,0,31,0,0,0,108,0,108,0,0
