Pokémon Ranger♂ Bradly,Bradly,5,6
5
Team 1
Slowbro,Calm Mind,Slack Off,Psychic,Surf,Leftovers,Bold,Oblivious,31,15,31,31,15,15,148,4,148,148,4,4
Xatu,Air Slash,Night Shade,Wish,Future Sight,Sharp Beak,Hardy,Magic Bounce,31,10,10,31,10,31,148,0,0,148,0,148
Hitmonlee,Blaze Kick,Close Combat,Focus Energy,Facade,Black Belt,Adamant,Limber,31,31,0,0,0,31,148,148,0,0,0,148
Team 2
Gastrodon,Mirror Coat,Recover,Waterfall,Earthquake,Leftovers,Careful,Storm Drain,31,31,15,15,31,15,148,148,4,4,148,4
Marowak,Brick Break,Earthquake,Rock Tomb,Iron Head,Thick Club,Jolly,Battle Armor,31,31,15,15,15,31,148,148,4,4,4,148
Kangaskhan,Thunderbolt,Focus Punch,Ice Beam,Drain Punch,Pecha Berry,Rash,Scrappy,31,31,15,31,15,15,148,148,4,148,4,4
6
Team 3
Lickilicky,Belly Drum,Rest,Explosion,Earthquake,Chesto Berry,Careful,Own Tempo,31,31,20,0,31,20,204,60,0,0,204,0
Vileplume,Poison Powder,Sleep Powder,Stun Spore,Giga Drain,Big Root,Lax,Chlorophyll,31,15,15,31,31,15,148,4,4,148,148,4
Absol,Slash,Night Slash,Double Team,Taunt,White Herb,Careful,Pressure,31,31,15,15,31,15,148,148,4,4,148,4
