Poké Fan♀ Brandy,Brandy,2,3
2
Team 1
Nidorina,Double Kick,Bite,Aerial Ace,Flatter,Focus Band,Adamant,Poison Point,31,31,0,0,0,0,108,108,0,0,0,0
Charmander,Dragon Breath,Inferno,Fire Spin,Scary Face,Scope Lens,Modest,Blaze,31,0,0,31,0,0,108,0,0,108,0,0
Cubone,Bonemerang,Headbutt,Brick Break,Aerial Ace,Soft Sand,Adamant,Battle Armor,31,31,0,0,0,0,108,108,0,0,0,0
Team 2
Aipom,Fury Swipes,Sand Attack,Baton Pass,Agility,Silk Scarf,Jolly,Skill Link,0,31,0,0,0,31,0,108,0,0,0,108
Nidorina,Double Kick,Bite,Aerial Ace,Flatter,Focus Band,Adamant,Poison Point,31,31,0,0,0,0,108,108,0,0,0,0
Ariados,Sticky Web,Toxic Spikes,Night Shade,Toxic Thread,Focus Sash,Timid,Insomnia,31,0,0,0,0,31,108,0,0,0,0,108
3
Team 3
Castform,Ember,Water Pulse,Shock Wave,Weather Ball,Persim Berry,Hasty,Forecast,31,0,0,31,0,31,108,0,0,108,0,108
Chatot,Chatter,Torment,Sing,U-turn,Yache Berry,Bashful,Big Pecks,31,0,0,31,0,31,108,0,0,108,0,108
Solrock,Confusion,Cosmic Power,Light Screen,Sandstorm,Sitrus Berry,Quiet,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
