Fisher Braxton,Braxton,2,3
2
Team 1
Turtwig,Grass Knot,Bite,Curse,Withdraw,Occa Berry,Brave,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Machoke,Low Kick,Rock Tomb,Facade,Scary Face,Focus Band,Adamant,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Porygon,Psybeam,Tri Attack,Recycle,Agility,Sitrus Berry,Relaxed,Download,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Riolu,Force Palm,Counter,Copycat,Screech,Focus Sash,Adamant,Prankster,0,31,0,0,0,31,0,108,0,0,0,108
Flaaffy,Shock Wave,Thunder Wave,Cotton Spore,Light Screen,Shuca Berry,Mild,Static,31,0,0,31,0,0,108,0,0,108,0,0
Kabuto,Mega Drain,Ancient Power,Sand Attack,Protect,Sitrus Berry,Hardy,Battle Armor,31,0,0,31,0,0,108,0,0,108,0,0
3
Team 3
Qwilfish,Bubble Beam,Pin Missile,Spikes,Minimize,Cheri Berry,Impish,Intimidate,31,0,31,0,31,0,108,0,108,0,108,0
Togetic,Aerial Ace,Dazzling Gleam,Wish,Follow Me,Lax Incense,Relaxed,Serene Grace,31,0,31,0,0,0,108,0,108,0,0,0
Kadabra,Confusion,Role Play,Future Sight,Disable,Twisted Spoon,Modest,Inner Focus,0,0,0,31,0,31,0,0,0,108,0,108
