Pokémon Ranger♀ Breana,Breana,5,6
5
Team 1
Glalie,Protect,Substitute,Frost Breath,Sheer Cold,Leftovers,Timid,Moody,31,15,15,31,15,31,148,4,4,148,4,148
Marowak,Brick Break,Earthquake,Rock Tomb,Iron Head,Thick Club,Jolly,Battle Armor,31,31,15,15,15,31,148,148,4,4,4,148
Vileplume,Poison Powder,Sleep Powder,Stun Spore,Giga Drain,Big Root,Lax,Chlorophyll,31,15,15,31,31,15,148,4,4,148,148,4
Team 2
Blastoise,Double Team,Focus Punch,Aqua Jet,Gyro Ball,Iron Ball,Brave,Torrent,31,31,31,15,15,15,148,148,148,0,0,0
Infernape,Fake Out,Mach Punch,U-turn,Overheat,Coba Berry,Quirky,Blaze,31,31,15,15,15,31,148,148,4,4,4,148
Hariyama,Sand Attack,Focus Punch,Rock Tomb,Fake Out,Bright Powder,Adamant,Thick Fat,31,31,15,15,15,31,148,148,4,4,4,148
6
Team 3
Nidoqueen,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Rhydon,Ice Beam,Thunderbolt,Dragon Pulse,Surf,Wise Glasses,Quiet,Lightning Rod,31,15,31,31,15,15,148,4,148,148,4,4
Ambipom,Double Team,Baton Pass,Agility,Double Hit,Bright Powder,Impish,Technician,31,31,31,15,15,15,148,148,148,4,4,4
