Fisher Bronson,Bronson,6,7
6
Team 1
Yanmega,Aerial Ace,Steel Wing,Thief,U-turn,Charti Berry,Adamant,Speed Boost,31,31,20,0,20,31,60,204,0,0,0,204
Kangaskhan,Thunderbolt,Focus Punch,Ice Beam,Drain Punch,Pecha Berry,Rash,Scrappy,31,31,15,31,15,15,148,148,4,148,4,4
Electrode,Explosion,Spark,Thunder Wave,Thief,Sitrus Berry,Hasty,Aftermath,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Wailord,Defense Curl,Rollout,Waterfall,Avalanche,Wacan Berry,Adamant,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Golduck,Psychic,Disable,Surf,Brick Break,Pecha Berry,Naive,Cloud Nine,20,31,20,31,20,31,0,60,0,204,0,204
Abomasnow,Blizzard,Earthquake,Brick Break,Giga Drain,Occa Berry,Mild,Snow Warning,31,31,20,31,20,20,204,60,0,204,0,0
7
Team 3
Glaceon,Mirror Coat,Tail Whip,Sand Attack,Last Resort,Leftovers,Modest,Ice Body,31,0,25,31,25,31,220,0,0,220,0,44
Probopass,Rock Polish,Stealth Rock,Lock-on,Stone Edge,Rock Incense,Impish,Sturdy,31,31,31,31,31,31,220,44,220,0,0,0
Jolteon,Thunderbolt,Volt Switch,Shadow Ball,Yawn,Magnet,Timid,Volt Absorb,31,0,25,31,25,31,36,0,0,220,0,252
