Reporter Callie,Callie,3,4
3
Team 1
Marshtomp,Mud Shot,Water Gun,Rock Tomb,Mud-slap,Focus Band,Hardy,Torrent,31,31,31,31,31,31,108,108,0,108,0,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Team 2
Dusclops,Will-o-wisp,Night Shade,Pain Split,Confuse Ray,Leftovers,Impish,Pressure,31,31,31,31,31,31,148,0,148,0,148,0
Pupitar,Dig,Bite,Scary Face,Sandstorm,Soft Sand,Adamant,Shed Skin,31,31,31,0,0,0,108,108,108,0,0,0
Furret,Slam,Protect,Helping Hand,Follow Me,Liechi Berry,Serious,Keen Eye,31,31,0,0,0,31,108,108,0,0,0,108
4
Team 3
Purugly,Slash,U-turn,Attract,Fake Out,Silk Scarf,Adamant,Thick Fat,31,31,0,0,31,0,148,148,0,0,148,0
Rotom,Thunderbolt,Shadow Ball,Thunder Wave,Confuse Ray,Cheri Berry,Modest,Levitate,31,0,0,31,0,31,148,0,0,148,0,148
Dodrio,Drill Peck,Tri Attack,Sleep Talk,Rest,Chesto Berry,Adamant,Early Bird,31,31,10,10,10,31,148,148,0,0,0,148
Team 4
Xatu,Air Slash,Night Shade,Wish,Future Sight,Sharp Beak,Hardy,Magic Bounce,31,10,10,31,10,31,148,0,0,148,0,148
Rotom,Thunderbolt,Shadow Ball,Thunder Wave,Confuse Ray,Cheri Berry,Modest,Levitate,31,0,0,31,0,31,148,0,0,148,0,148
Girafarig,Psybeam,Thunderbolt,Wish,Skill Swap,Petaya Berry,Quiet,Sap Sipper,31,0,0,31,31,0,148,0,0,148,148,0
