Lady Camille,Camille,1,2
1
Team 1
Torchic,Flame Charge,Quick Attack,Sand Attack,Double Team,Shuca Berry,Adamant,Blaze,31,31,0,0,0,0,108,108,0,0,0,0
Happiny,Sweet Kiss,Psychic,Flamethrower,Shadow Ball,Lucky Punch,Modest,Serene Grace,0,0,31,31,0,0,0,0,108,108,0,0
Magnemite,Shock Wave,Supersonic,Metal Sound,Reflect,Rawst Berry,Modest,Sturdy,31,0,0,31,0,0,108,0,0,108,0,0
Team 2
Turtwig,Grass Knot,Bite,Curse,Withdraw,Occa Berry,Brave,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Dratini,Outrage,Thunder Wave,Dragon Dance,Water Pulse,Persim Berry,Docile,Shed Skin,0,31,0,31,0,0,0,108,0,108,0,0
Drowzee,Confusion,Headbutt,Disable,Shadow Ball,Sitrus Berry,Quirky,Insomnia,31,0,0,0,0,31,108,0,0,0,0,108
Team 3
Cyndaquil,Flame Wheel,Swift,Quick Attack,Smokescreen,Focus Sash,Docile,Blaze,0,31,0,31,0,0,0,108,0,108,0,0
Carvanha,Bite,Screech,Scary Face,Swagger,Shell Bell,Quiet,Rough Skin,31,0,0,31,0,0,108,0,0,108,0,0
Mime Jr.,Copycat,Confusion,Reflect,Light Screen,Lax Incense,Bold,Soundproof,31,0,31,0,0,0,108,0,108,0,0,0
2
Team 4
Machoke,Low Kick,Rock Tomb,Facade,Scary Face,Focus Band,Adamant,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Sableye,Will-o-wisp,Confuse Ray,Night Shade,Fake Out,Black Glasses,Lonely,Prankster,31,31,31,31,31,31,108,0,0,0,0,108
Togetic,Aerial Ace,Dazzling Gleam,Wish,Follow Me,Lax Incense,Relaxed,Serene Grace,31,0,31,0,0,0,108,0,108,0,0,0
