Waitress Carissa,Carissa,2,3
2
Team 1
Corsola,Bubble Beam,Mirror Coat,Attract,Ancient Power,Focus Sash,Impish,Natural Cure,31,0,0,31,0,0,108,0,0,108,0,0
Azumarill,Waterfall,Facade,Play Rough,Aqua Jet,Sitrus Berry,Adamant,Huge Power,31,31,0,0,0,0,108,108,0,0,0,0
Pachirisu,Discharge,Sweet Kiss,Quick Attack,Nuzzle,Shuca Berry,Modest,Volt Absorb,31,0,0,0,0,31,108,0,0,0,0,108
Team 2
Lickitung,Slam,Brick Break,Lick,Screech,Sitrus Berry,Adamant,Own Tempo,31,31,0,0,0,0,108,108,0,0,0,0
Butterfree,Sleep Powder,Quiver Dance,Substitute,Bug Buzz,Leftovers,Timid,Compoundeyes,31,31,31,31,31,31,108,0,0,0,0,108
Luxio,Spark,Bite,Roar,Swagger,Magnet,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
3
Team 3
Murkrow,Dark Pulse,Fly,Torment,Taunt,Wacan Berry,Adamant,Prankster,0,31,0,0,0,31,0,108,0,0,0,108
Sneasel,Ice Shard,Fake Out,Ice Punch,Throat Chop,Focus Sash,Adamant,Pickpocket,31,31,0,0,0,31,108,108,0,0,0,108
Tangela,Mega Drain,Slam,Leech Seed,Bind,Lax Incense,Hardy,Regenerator,31,0,31,0,31,0,108,0,108,0,108,0
