Poké Fan♀ Carley,Carley,7,M
7
Team 1
Porygon-Z,Tri Attack,Shadow Ball,Ice Beam,Thunderbolt,Choice Specs,Modest,Download,31,0,25,31,25,31,36,0,0,252,0,220
Lapras,Dragon Dance,Body Slam,Waterfall,Ice Shard,Lum Berry,Adamant,Shell Armor,31,31,25,0,25,31,44,220,0,0,0,220
Togekiss,Extreme Speed,Aerial Ace,Steel Wing,Roost,Wide Lens,Adamant,Hustle,31,31,25,0,25,31,44,220,0,0,0,220
M
Team 2
Electivire,Thunder Punch,Cross Chop,Thunder Wave,Screech,Cheri Berry,Impish,Motor Drive,31,31,31,0,25,25,220,44,220,0,0,0
Mamoswine,Hail,Blizzard,Mud Shot,Ancient Power,Icy Rock,Modest,Snow Cloak,31,0,25,31,25,31,44,0,0,220,0,220
Magnezone,Thunderbolt,Flash Cannon,Tri Attack,Volt Switch,Quick Claw,Modest,Sturdy,31,0,25,31,25,31,44,0,0,220,0,220
Team 3
Zapdos,Drill Peck,U-turn,Steel Wing,Ancient Power,King's Rock,Jolly,Pressure,31,31,31,31,31,31,4,252,0,0,0,252
Mismagius,Shadow Ball,Payback,Energy Ball,Psychic,Spell Tag,Relaxed,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Steelix,Gyro Ball,Fire Fang,Stone Edge,Earthquake,Custap Berry,Brave,Sheer Force,31,31,31,0,31,31,252,4,252,0,0,0
