School Kid♀ Cecilia,Cecilia,1,2
1
Team 1
Remoraid,Bubble Beam,Aurora Beam,Psybeam,Protect,Petaya Berry,Modest,Sniper,31,0,0,31,0,0,108,0,0,108,0,0
Dratini,Outrage,Thunder Wave,Dragon Dance,Water Pulse,Persim Berry,Docile,Shed Skin,0,31,0,31,0,0,0,108,0,108,0,0
Oddish,Acid,Stun Spore,Sweet Scent,Moonlight,Pecha Berry,Relaxed,Chlorophyll,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Carvanha,Bite,Screech,Scary Face,Swagger,Shell Bell,Quiet,Rough Skin,31,0,0,31,0,0,108,0,0,108,0,0
Venonat,Psybeam,Supersonic,Stun Spore,Skill Swap,Sitrus Berry,Relaxed,Compoundeyes,31,31,31,31,31,31,108,0,108,0,0,0
Mantyke,Bubble Beam,Agility,Aqua Ring,Air Slash,Bright Powder,Modest,Swift Swim,0,0,0,31,0,31,0,0,0,108,0,108
Team 3
Swablu,Take Down,Dream Eater,Sing,Attract,Mental Herb,Lonely,Cloud Nine,0,31,0,0,0,31,0,108,0,0,0,108
Baltoy,Psybeam,Ancient Power,Light Screen,Mud-slap,Twisted Spoon,Naughty,Levitate,31,31,31,31,31,31,108,0,0,108,0,0
Eevee,Charm,Attract,Take Down,Endure,Salac Berry,Docile,Adaptability,31,31,0,0,0,0,108,108,0,0,0,0
2
Team 4
Volbeat,Bug Buzz,Confuse Ray,Quick Attack,Helping Hand,Liechi Berry,Quirky,Swarm,31,0,0,31,0,0,108,0,0,108,0,0
Kadabra,Confusion,Role Play,Future Sight,Disable,Twisted Spoon,Modest,Inner Focus,0,0,0,31,0,31,0,0,0,108,0,108
Murkrow,Dark Pulse,Fly,Torment,Taunt,Wacan Berry,Adamant,Prankster,0,31,0,0,0,31,0,108,0,0,0,108
