Ace Trainer♀ Celina,Celina,7,M
7
Team 1
Feraligatr,Hydro Pump,Ice Beam,Dragon Pulse,Ancient Power,Wise Glasses,Modest,Torrent,31,0,25,31,25,31,44,0,0,220,0,220
Dusknoir,Curse,Pain Split,Ice Punch,Protect,Ganlon Berry,Impish,Pressure,31,31,31,0,25,25,220,44,220,0,0,0
Snorlax,Body Slam,Earthquake,Curse,Yawn,Leftovers,Adamant,Immunity,31,31,31,0,25,25,44,220,220,0,0,0
M
Team 2
Mamoswine,Hail,Blizzard,Mud Shot,Ancient Power,Icy Rock,Modest,Snow Cloak,31,0,25,31,25,31,44,0,0,220,0,220
Electivire,Thunder Punch,Cross Chop,Thunder Wave,Screech,Cheri Berry,Impish,Motor Drive,31,31,31,0,25,25,220,44,220,0,0,0
Lucario,Dark Pulse,Dragon Pulse,Aura Sphere,Nasty Plot,Bright Powder,Modest,Inner Focus,31,0,25,31,25,31,44,0,0,220,0,220
Team 3
Electivire,Thunder,Dynamic Punch,Rock Slide,Iron Tail,Wide Lens,Relaxed,Motor Drive,31,31,31,31,31,31,252,0,252,0,4,0
Electrode,Magnet Rise,Charge Beam,Hyper Beam,Thunder Wave,Shuca Berry,Timid,Aftermath,31,0,31,31,31,31,4,0,0,252,0,252
Drifblim,Hypnosis,Dream Eater,Charge Beam,Shadow Ball,Wise Glasses,Modest,Aftermath,31,31,31,31,31,31,252,0,0,252,0,4
