PI Chester,Chester,M
M
Team 1
Mr. Mime,Psybeam,Reflect,Light Screen,Role Play,Light Clay,Calm,Filter,31,0,31,31,31,31,252,0,0,4,252,0
Articuno,Roost,Ice Beam,Sheer Cold,Double Team,Bright Powder,Timid,Pressure,31,31,31,31,31,31,252,0,0,4,0,252
Hypno,Psychic,Focus Blast,Thunder Wave,Calm Mind,Focus Band,Modest,Insomnia,31,0,31,31,31,31,4,0,0,252,0,252
Team 2
Hypno,Psychic,Focus Blast,Thunder Wave,Calm Mind,Focus Band,Modest,Insomnia,31,0,31,31,31,31,4,0,0,252,0,252
Forretress,Payback,Toxic Spikes,Gyro Ball,Spikes,Sitrus Berry,Brave,Sturdy,31,31,31,31,31,0,252,252,4,0,0,0
Moltres,Roost,Air Slash,Will-o-wisp,Double Team,Bright Powder,Timid,Pressure,31,31,31,31,31,31,4,0,0,252,0,252
Team 3
Gastrodon,Scald,Earth Power,Recover,Mirror Coat,Wiki Berry,Bold,Storm Drain,31,31,31,31,31,31,252,0,252,4,0,0
Articuno,Sheer Cold,Mind Reader,Substitute,Roost,Bright Powder,Timid,Pressure,31,31,31,31,31,31,252,0,4,0,0,252
Regirock,Rock Polish,Earthquake,Stone Edge,Body Press,Liechi Berry,Adamant,Sturdy,31,31,31,31,31,31,0,252,4,0,0,252
Team 4
Gastrodon,Surf,Earth Power,Recover,Counter,Rindo Berry,Bold,Storm Drain,31,31,31,31,31,31,252,0,252,4,0,0
Articuno,Sheer Cold,Mind Reader,Substitute,Roost,Bright Powder,Timid,Pressure,31,31,31,31,31,31,252,0,4,0,0,252
Gliscor,Earthquake,Guillotine,Substitute,Protect,Toxic Orb,Jolly,Poison Heal,31,31,31,31,31,31,252,0,100,0,0,156
