Parasol Lady Christa,Christa,M
M
Team 1
Ninetales,Solar Beam,Overheat,Psyshock,Nasty Plot,White Herb,Timid,Drought,31,0,31,31,31,31,4,0,0,252,0,252
Lucario,Aura Sphere,Flash Cannon,Dark Pulse,Vacuum Wave,Focus Sash,Modest,Inner Focus,31,0,31,31,31,31,4,0,0,252,0,252
Raikou,Rain Dance,Thunder,Calm Mind,Iron Tail,Magnet,Timid,Pressure,31,31,31,31,31,31,252,0,0,4,0,252
Team 2
Breloom,Spore,Mach Punch,Counter,Bullet Seed,Focus Sash,Jolly,Technician,31,31,31,31,31,31,4,252,0,0,0,252
Alakazam,Psyshock,Shadow Ball,Energy Ball,Dazzling Gleam,Life Orb,Timid,Magic Guard,31,31,31,31,31,31,4,0,0,252,0,252
Arcanine,Flare Blitz,Wild Charge,Play Rough,Close Combat,Choice Band,Jolly,Intimidate,31,31,31,31,31,31,4,252,0,0,0,252
Team 3
Breloom,Spore,Substitute,Bulk Up,Rock Tomb,Toxic Orb,Jolly,Poison Heal,31,31,31,0,31,31,252,4,0,0,0,252
Infernape,Close Combat,Fire Punch,Fake Out,Mach Punch,Focus Sash,Jolly,Iron Fist,31,31,31,31,31,31,4,252,0,0,0,252
Togekiss,Air Slash,Flamethrower,Dazzling Gleam,Thunder Wave,Scope Lens,Timid,Super Luck,31,31,31,31,31,31,4,0,0,252,0,252
