School Kid♀ Ciara,Ciara,5,6
5
Team 1
Mr. Mime,Psychic,Reflect,Light Screen,Mimic,Sitrus Berry,Bold,Filter,31,15,31,31,15,15,148,4,148,148,4,4
Octillery,Octazooka,Ice Beam,Psychic,Protect,Leftovers,Modest,Moody,31,10,10,31,10,31,148,0,0,148,0,148
Swalot,Stockpile,Ice Beam,Shadow Ball,Sludge Bomb,Black Sludge,Modest,Sticky Hold,31,10,10,31,10,31,148,0,0,148,0,148
Team 2
Dugtrio,Shadow Claw,Earthquake,Rock Slide,Thief,Focus Sash,Jolly,Arena Trap,31,31,15,15,15,31,148,148,4,4,4,148
Purugly,Slash,U-turn,Attract,Fake Out,Silk Scarf,Adamant,Thick Fat,31,31,0,0,31,0,148,148,0,0,148,0
Kingler,Crabhammer,Metal Claw,Knock Off,Protect,Scope Lens,Adamant,Hyper Cutter,31,31,10,10,10,31,148,148,0,0,0,148
6
Team 3
Ampharos,Thunder Wave,Facade,Fling,Rest,Toxic Orb,Mild,Static,31,20,31,20,31,0,204,0,60,0,204,0
Miltank,Defense Curl,Rollout,Milk Drink,Seismic Toss,Muscle Band,Impish,Thick Fat,31,31,31,0,20,20,204,204,60,0,0,0
Houndoom,Counter,Flame Charge,Crunch,Thunder Fang,Focus Sash,Jolly,Flash Fire,31,31,20,0,20,31,60,204,0,0,0,204
