Idol Claudia,Claudia,6,7
6
Team 1
Slowking,Psychic,Scald,Trick Room,Ice Beam,Wise Glasses,Modest,Own Tempo,31,0,31,31,20,0,204,0,60,204,0,0
Steelix,Thunder Fang,Fire Fang,Ice Fang,Crunch,Occa Berry,Bold,Sturdy,31,0,31,31,20,20,204,0,204,60,0,0
Rapidash,Sunny Day,Fire Blast,Solar Beam,Rest,Chesto Berry,Modest,Flame Body,31,0,20,31,20,31,60,0,0,204,0,204
Team 2
Jynx,Mean Look,Perish Song,Protect,Lovely Kiss,Bright Powder,Bold,Dry Skin,31,15,31,31,15,15,148,4,148,148,4,4
Poliwrath,Hydro Pump,Ice Beam,Focus Blast,Mind Reader,Rindo Berry,Modest,Water Absorb,31,0,20,31,20,31,204,0,0,204,0,60
Armaldo,Stone Edge,Slash,X-scissor,Iron Tail,Wide Lens,Careful,Battle Armor,31,31,31,31,31,31,204,60,0,0,204,0
7
Team 3
Infernape,Flare Blitz,Thunder Punch,Close Combat,U-turn,Muscle Band,Jolly,Blaze,31,31,25,0,25,31,36,220,0,0,0,252
Dragonite,Outrage,Aqua Tail,Iron Tail,Stone Edge,Wide Lens,Adamant,Multiscale,31,31,25,0,25,31,36,252,0,0,0,220
Blissey,Ice Beam,Thunderbolt,Flamethrower,Soft-boiled,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,220,0,44,220
