Tuber♂ Clifton,Clifton,1,2
1
Team 1
Numel,Ember,Earth Power,Rock Tomb,Sandstorm,Lax Incense,Hardy,Oblivious,0,31,0,31,0,0,0,108,0,108,0,0
Croagunk,Poison Jab,Mud-slap,Taunt,Swagger,Black Sludge,Adamant,Poison Touch,31,31,31,31,31,31,108,108,0,0,0,0
Mantyke,Bubble Beam,Agility,Aqua Ring,Air Slash,Bright Powder,Modest,Swift Swim,0,0,0,31,0,31,0,0,0,108,0,108
Team 2
Bronzor,Confusion,Hypnosis,Confuse Ray,Gyro Ball,Sitrus Berry,Hardy,Levitate,0,31,0,31,0,0,0,108,0,108,0,0
Bulbasaur,Giga Drain,Toxic,Synthesis,Leech Seed,Leftovers,Modest,Overgrow,31,0,0,31,0,0,108,0,0,108,0,0
Shieldon,Take Down,Protect,Iron Defense,Metal Sound,Focus Sash,Sassy,Sturdy,31,0,31,0,0,0,108,0,108,0,0,0
2
Team 3
Azumarill,Waterfall,Facade,Play Rough,Aqua Jet,Sitrus Berry,Adamant,Huge Power,31,31,0,0,0,0,108,108,0,0,0,0
Nidorino,Double Kick,Water Pulse,Toxic Spikes,Flatter,Focus Band,Quirky,Poison Point,0,31,0,31,0,0,0,108,0,108,0,0
Lileep,Giga Drain,Acid,Ingrain,Confuse Ray,Lax Incense,Docile,Storm Drain,31,0,0,31,0,0,108,0,0,108,0,0
