Psychic Clyde,Clyde,7,M
7
Team 1
Togekiss,Extreme Speed,Aerial Ace,Steel Wing,Roost,Wide Lens,Adamant,Hustle,31,31,25,0,25,31,44,220,0,0,0,220
Blastoise,Skull Bash,Earthquake,Waterfall,Aqua Jet,Power Herb,Adamant,Torrent,31,31,25,0,25,31,44,220,0,0,0,220
Lapras,Dragon Dance,Body Slam,Waterfall,Ice Shard,Lum Berry,Adamant,Shell Armor,31,31,25,0,25,31,44,220,0,0,0,220
M
Team 2
Gallade,Psycho Cut,Close Combat,Shadow Sneak,Destiny Bond,Kasib Berry,Jolly,Steadfast,31,31,31,0,31,31,4,252,0,0,0,252
Gastrodon,Surf,Earth Power,Recover,Counter,Rindo Berry,Bold,Storm Drain,31,31,31,31,31,31,252,0,252,4,0,0
Ludicolo,Hydro Pump,Ice Beam,Grass Knot,Focus Blast,Lum Berry,Modest,Swift Swim,31,31,31,31,31,31,252,0,0,252,0,4
Team 3
Shuckle,Power Trick,Double Team,Wrap,Toxic,Bright Powder,Impish,Sturdy,31,31,31,0,31,31,252,0,252,0,4,0
Exploud,Rest,Sleep Talk,Boomburst,Double Team,Sitrus Berry,Impish,Soundproof,31,31,31,31,31,31,252,0,0,4,0,252
Jolteon,Thunder Wave,Thunderbolt,Shadow Ball,Flash,Razor Claw,Timid,Volt Absorb,31,31,31,31,31,31,4,0,0,252,0,252
