PI Codi,Codi,M
M
Team 1
Marowak,Thunder Punch,Stone Edge,Earthquake,Low Kick,Thick Club,Adamant,Battle Armor,31,31,31,0,31,31,252,252,4,0,0,0
Entei,Lava Plume,Snarl,Calm Mind,Extrasensory,Wise Glasses,Bold,Inner Focus,31,31,31,31,31,31,252,0,252,0,0,4
Medicham,High Jump Kick,Thunder Punch,Zen Headbutt,Ice Punch,Choice Scarf,Adamant,Pure Power,31,31,31,0,31,31,4,252,0,0,0,252
Team 2
Politoed,Belly Drum,Waterfall,Earthquake,Rest,Salac Berry,Careful,Drizzle,31,31,31,31,31,31,252,0,0,0,252,4
Kingdra,Hydro Pump,Ice Beam,Hurricane,Rain Dance,Wide Lens,Modest,Swift Swim,31,0,31,31,31,31,4,0,0,252,0,252
Nidoqueen,Stone Edge,Avalanche,Iron Tail,Aerial Ace,Bright Powder,Brave,Poison Point,31,31,31,31,31,31,252,252,4,0,0,0
Team 3
Alakazam,Psyshock,Shadow Ball,Energy Ball,Dazzling Gleam,Life Orb,Timid,Magic Guard,31,31,31,31,31,31,4,0,0,252,0,252
Salamence,Outrage,Thrash,Crunch,Earthquake,Choice Scarf,Jolly,Moxie,31,31,31,31,31,31,4,252,0,0,0,252
Exeggutor,Trick Room,Giga Drain,Psychic,Sludge Bomb,Sitrus Berry,Quiet,Harvest,31,31,31,31,31,31,252,0,4,252,0,0
Team 4
Alakazam,Psyshock,Shadow Ball,Energy Ball,Dazzling Gleam,Life Orb,Timid,Magic Guard,31,31,31,31,31,31,4,0,0,252,0,252
Salamence,Dragon Dance,Earthquake,Outrage,Zen Headbutt,King's Rock,Jolly,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
Weavile,Night Slash,Ice Punch,Ice Shard,Swords Dance,Focus Sash,Jolly,Pickpocket,31,31,31,31,31,31,4,252,0,0,0,252
