Dragon Tamer♀ Codie,Codie,5,6
5
Team 1
Noctowl,Air Slash,Aerial Ace,Psychic,Reflect,Persim Berry,Relaxed,Keen Eye,31,0,31,31,0,0,148,0,148,148,0,0
Dugtrio,Shadow Claw,Earthquake,Rock Slide,Thief,Focus Sash,Jolly,Arena Trap,31,31,15,15,15,31,148,148,4,4,4,148
Weezing,Will-o-wisp,Double Team,Sludge Bomb,Substitute,Leftovers,Calm,Levitate,31,31,31,31,31,31,148,4,4,148,148,4
Team 2
Manectric,Spark,Ice Fang,Bite,Howl,Magnet,Jolly,Lightning Rod,31,31,15,15,15,31,148,148,4,4,4,148
Sceptile,Leech Seed,Double Team,Dragon Pulse,Giga Drain,Leftovers,Bold,Overgrow,31,15,31,31,15,15,148,4,148,148,4,4
Froslass,Blizzard,Shadow Ball,Thunderbolt,Will-o-wisp,Focus Band,Timid,Cursed Body,31,31,31,31,31,31,148,4,4,148,4,148
Team 3
Mr. Mime,Psychic,Reflect,Light Screen,Mimic,Sitrus Berry,Bold,Filter,31,15,31,31,15,15,148,4,148,148,4,4
Vespiquen,Attack Order,Slash,Defend Order,-,Razor Claw,Adamant,Pressure,31,31,15,15,15,31,148,148,4,4,4,148
Quagsire,Body Slam,Rock Slide,Ice Beam,Brick Break,Leftovers,Brave,Water Absorb,31,31,31,15,15,15,148,148,148,4,4,4
6
Team 4
Muk,Poison Jab,Minimize,Acid Armor,Brick Break,Black Sludge,Impish,Poison Touch,31,31,31,0,20,20,204,60,204,0,0,0
Tauros,Thrash,Zen Headbutt,Earthquake,Giga Impact,Lum Berry,Jolly,Intimidate,31,31,15,15,15,31,148,148,4,4,4,148
Breloom,Protect,Spore,Leech Seed,Low Sweep,Toxic Orb,Jolly,Poison Heal,31,15,31,15,15,31,148,4,148,4,4,148
