Pokémon Ranger♂ Cyril,Cyril,5,6
5
Team 1
Magmar,Flamethrower,Smokescreen,Brick Break,Psychic,Rawst Berry,Relaxed,Flame Body,31,31,10,31,10,10,148,148,0,148,0,0
Typhlosion,Will-o-wisp,Focus Blast,Double Team,Fire Blast,Wide Lens,Hardy,Blaze,31,31,31,31,31,31,148,0,0,148,0,148
Dugtrio,Shadow Claw,Earthquake,Rock Slide,Thief,Focus Sash,Jolly,Arena Trap,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Octillery,Octazooka,Ice Beam,Psychic,Protect,Leftovers,Modest,Moody,31,10,10,31,10,31,148,0,0,148,0,148
Forretress,Gyro Ball,Counter,Spikes,Toxic Spikes,Occa Berry,Careful,Sturdy,31,31,15,15,31,15,148,148,4,4,148,4
Breloom,Protect,Spore,Leech Seed,Low Sweep,Toxic Orb,Jolly,Poison Heal,31,15,31,15,15,31,148,4,148,4,4,148
6
Team 3
Steelix,Thunder Fang,Fire Fang,Ice Fang,Crunch,Occa Berry,Bold,Sturdy,31,0,31,31,20,20,204,0,204,60,0,0
Yanmega,Aerial Ace,Steel Wing,Thief,U-turn,Charti Berry,Adamant,Speed Boost,31,31,20,0,20,31,60,204,0,0,0,204
Lickilicky,Belly Drum,Rest,Explosion,Earthquake,Chesto Berry,Careful,Own Tempo,31,31,20,0,31,20,204,60,0,0,204,0
