Ace Trainer♂ Dallin,Dallin,7,M
7
Team 1
Rampardos,Thrash,Headbutt,Zen Headbutt,Head Smash,Persim Berry,Adamant,Mold Breaker,31,31,20,0,20,31,60,204,0,0,0,204
Tyranitar,Dark Pulse,Ice Beam,Flamethrower,Ancient Power,Expert Belt,Modest,Sand Stream,31,0,25,31,25,31,44,0,0,220,0,220
Leafeon,Synthesis,Leaf Blade,Leech Seed,Yawn,Leftovers,Adamant,Chlorophyll,31,31,25,0,25,31,220,220,0,0,0,44
Team 2
Magnezone,Thunderbolt,Flash Cannon,Tri Attack,Volt Switch,Quick Claw,Modest,Sturdy,31,0,25,31,25,31,44,0,0,220,0,220
Leafeon,Synthesis,Leaf Blade,Leech Seed,Yawn,Leftovers,Adamant,Chlorophyll,31,31,25,0,25,31,220,220,0,0,0,44
Meganium,Solar Beam,Sunny Day,Synthesis,Ancient Power,Occa Berry,Modest,Overgrow,31,0,25,31,25,31,44,0,0,220,0,220
M
Team 3
Luxray,Play Rough,Quick Attack,Wild Charge,Fire Fang,Life Orb,Adamant,Intimidate,31,31,31,31,31,31,108,252,148,0,0,0
Whiscash,Fissure,Amnesia,Spark,Rest,Chesto Berry,Sassy,Oblivious,31,31,31,31,31,31,252,0,4,0,252,0
Shiftry,Energy Ball,Dark Pulse,Focus Blast,Nasty Plot,Focus Band,Modest,Chlorophyll,31,31,31,31,31,31,4,0,0,252,0,252
Team 4
Glalie,Double Team,Sheer Cold,Rest,Sleep Talk,Leftovers,Timid,Moody,31,0,31,31,31,31,252,0,4,0,0,252
Honchkrow,Night Slash,Pluck,Aerial Ace,Roost,Sharp Beak,Adamant,Super Luck,31,31,31,0,31,31,4,252,0,0,0,252
Victreebel,Sludge Bomb,Energy Ball,Solar Beam,Synthesis,Power Herb,Timid,Chlorophyll,31,31,31,31,31,31,4,0,0,252,0,252
