Guitarist Dalvin,Dalvin,M
M
Team 1
Kangaskhan,Endure,Reversal,Crunch,Earthquake,Salac Berry,Jolly,Scrappy,31,31,31,31,31,31,4,252,0,0,0,252
Heracross,Megahorn,Stone Edge,Facade,Shadow Claw,Coba Berry,Adamant,Moxie,31,31,31,31,31,31,4,252,0,0,0,252
Gallade,Psycho Cut,Close Combat,Shadow Sneak,Destiny Bond,Kasib Berry,Jolly,Steadfast,31,31,31,0,31,31,4,252,0,0,0,252
Team 2
Pinsir,Endure,Flail,X-scissor,Superpower,Salac Berry,Adamant,Hyper Cutter,31,31,31,31,31,31,4,252,0,0,0,252
Mr. Mime,Psybeam,Reflect,Light Screen,Role Play,Light Clay,Calm,Filter,31,0,31,31,31,31,252,0,0,4,252,0
Skuntank,Dark Pulse,Flamethrower,Toxic,Double Team,Leftovers,Timid,Aftermath,31,0,31,31,31,31,4,0,0,252,0,252
Team 3
Lickilicky,Explosion,Power Whip,Gyro Ball,Knock Off,Choice Band,Brave,Cloud Nine,31,31,31,31,31,31,252,252,4,0,0,0
Flygon,Boomburst,Draco Meteor,Earth Power,Flamethrower,Choice Specs,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Zapdos,Discharge,Volt Switch,Roost,Hurricane,Magnet,Bold,Static,31,31,31,31,31,31,252,0,252,4,0,0
Team 4
Lickilicky,Explosion,Power Whip,Gyro Ball,Knock Off,Choice Band,Brave,Cloud Nine,31,31,31,31,31,31,252,252,4,0,0,0
Flygon,Boomburst,Draco Meteor,Earth Power,Flamethrower,Choice Specs,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Zapdos,Double Team,Roost,Discharge,Heat Wave,Bright Powder,Timid,Pressure,31,31,31,31,31,31,252,0,4,0,0,252
