Pokémon Ranger♀ Darcy,Darcy,7,M
7
Team 1
Charizard,Flare Blitz,Aerial Ace,Crunch,Dragon Claw,Scope Lens,Adamant,Blaze,31,31,25,0,25,31,44,220,0,0,0,220
Typhlosion,Eruption,Earthquake,Endure,Reversal,Salac Berry,Docile,Blaze,0,31,25,31,25,31,0,44,0,220,0,220
Empoleon,Drill Peck,Brick Break,Aqua Jet,Ice Beam,Wacan Berry,Docile,Torrent,0,31,25,31,25,31,0,220,0,220,0,44
Team 2
Gyarados,Dragon Dance,Waterfall,Earthquake,Ice Fang,Lum Berry,Adamant,Intimidate,31,31,25,0,25,31,44,220,0,0,0,220
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Machamp,Counter,Dynamic Punch,Payback,Earthquake,Focus Sash,Adamant,No Guard,31,31,20,0,20,31,60,204,0,0,0,204
M
Team 3
Roserade,Leaf Storm,Sludge Bomb,Shadow Ball,Dazzling Gleam,White Herb,Timid,Poison Point,31,0,31,31,31,31,4,0,0,252,0,252
Salamence,Dragon Dance,Earthquake,Outrage,Zen Headbutt,King's Rock,Jolly,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
Lopunny,Fire Punch,Charm,Encore,Thunder Punch,Focus Band,Jolly,Limber,31,31,31,0,31,31,4,252,0,0,0,252
Team 4
Exploud,Giga Impact,Earthquake,Avalanche,Crunch,Quick Claw,Careful,Soundproof,31,31,31,31,31,31,252,4,0,0,252,0
Metagross,Psychic,Flash Cannon,Shadow Ball,Sludge Bomb,Wise Glasses,Modest,Clear Body,31,0,31,31,31,31,4,0,0,252,0,252
Umbreon,Foul Play,Attract,Protect,Moonlight,Bright Powder,Calm,Inner Focus,31,0,31,0,31,31,252,0,4,0,252,0
