Black Belt Daron,Daron,7,M
7
Team 1
Alakazam,Psyshock,Psychic,Focus Blast,Energy Ball,Life Orb,Modest,Magic Guard,31,0,20,31,20,31,60,0,0,204,0,204
Empoleon,Drill Peck,Brick Break,Aqua Jet,Ice Beam,Wacan Berry,Docile,Torrent,0,31,25,31,25,31,0,220,0,220,0,44
Salamence,Fly,Aerial Ace,Steel Wing,Roost,Cheri Berry,Adamant,Intimidate,31,31,25,0,25,31,44,220,0,0,0,220
M
Team 2
Dragonite,Outrage,Aqua Tail,Iron Tail,Stone Edge,Wide Lens,Adamant,Multiscale,31,31,25,0,25,31,36,252,0,0,0,220
Luxray,Charge,Charge Beam,Thunderbolt,Flash,Shuca Berry,Quiet,Intimidate,31,20,31,31,20,20,204,0,60,204,0,0
Abomasnow,Blizzard,Earthquake,Brick Break,Giga Drain,Occa Berry,Mild,Snow Warning,31,31,20,31,20,20,204,60,0,204,0,0
Team 3
Medicham,High Jump Kick,Thunder Punch,Zen Headbutt,Ice Punch,Choice Scarf,Adamant,Pure Power,31,31,31,0,31,31,4,252,0,0,0,252
Dragonite,Outrage,Earthquake,Thunder Punch,Brick Break,Lum Berry,Jolly,Multiscale,31,31,31,0,31,31,4,252,0,0,0,252
Forretress,Payback,Toxic Spikes,Gyro Ball,Spikes,Sitrus Berry,Brave,Sturdy,31,31,31,31,31,0,252,252,4,0,0,0
