Pokémon Ranger♂ Darrian,Darrian,5,6
5
Team 1
Typhlosion,Will-o-wisp,Focus Blast,Double Team,Fire Blast,Wide Lens,Hardy,Blaze,31,31,31,31,31,31,148,0,0,148,0,148
Kingler,Crabhammer,Metal Claw,Knock Off,Protect,Scope Lens,Adamant,Hyper Cutter,31,31,10,10,10,31,148,148,0,0,0,148
Girafarig,Psybeam,Thunderbolt,Wish,Skill Swap,Petaya Berry,Quiet,Sap Sipper,31,0,0,31,31,0,148,0,0,148,148,0
Team 2
Rhydon,Ice Beam,Thunderbolt,Dragon Pulse,Surf,Wise Glasses,Quiet,Lightning Rod,31,15,31,31,15,15,148,4,148,148,4,4
Shiftry,Double Team,Leech Seed,Swagger,Synthesis,Leftovers,Bold,Early Bird,31,15,31,31,15,15,148,4,148,148,4,4
Hariyama,Sand Attack,Focus Punch,Rock Tomb,Fake Out,Bright Powder,Adamant,Thick Fat,31,31,15,15,15,31,148,148,4,4,4,148
6
Team 3
Machamp,Counter,Dynamic Punch,Payback,Earthquake,Focus Sash,Adamant,No Guard,31,31,20,0,20,31,60,204,0,0,0,204
Aerodactyl,Swagger,Attract,Rock Slide,Roost,Leftovers,Careful,Pressure,31,31,20,0,31,20,204,60,0,0,204,0
Drifblim,Hypnosis,Dream Eater,Rest,Charge Beam,Lum Berry,Modest,Unburden,31,0,20,31,20,31,60,0,0,204,0,204
