Cyclist Demetri,Demetri,M
M
Team 1
Leafeon,Grass Knot,Aerial Ace,Energy Ball,Bite,Shed Shell,Sassy,Chlorophyll,31,31,31,31,31,31,252,0,4,0,252,0
Jolteon,Thunder Wave,Thunderbolt,Shadow Ball,Flash,Razor Claw,Timid,Volt Absorb,31,31,31,31,31,31,4,0,0,252,0,252
Moltres,Overheat,Sky Attack,Fire Blast,U-turn,Bright Powder,Modest,Flame Body,31,31,31,31,31,31,4,0,0,252,0,252
Team 2
Articuno,Roost,Ice Beam,Sheer Cold,Double Team,Bright Powder,Timid,Pressure,31,31,31,31,31,31,252,0,0,4,0,252
Entei,Fire Blast,Extrasensory,Shadow Ball,Calm Mind,Leftovers,Timid,Pressure,31,31,31,31,31,31,252,0,0,4,0,252
Infernape,Flamethrower,Focus Blast,Calm Mind,Grass Knot,Wise Glasses,Modest,Blaze,31,0,31,31,31,31,4,0,0,252,0,252
Team 3
Electivire,Wild Charge,Earthquake,Ice Punch,Quick Attack,Focus Sash,Jolly,Motor Drive,31,31,31,31,31,31,4,252,0,0,0,252
Cresselia,Calm Mind,Moonlight,Moonblast,Psyshock,Wiki Berry,Bold,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Machamp,Close Combat,Ice Punch,Knock Off,Bullet Punch,Flame Orb,Adamant,Guts,31,31,31,31,31,31,204,252,12,0,36,4
Team 4
Electivire,Wild Charge,Earthquake,Ice Punch,Quick Attack,Focus Sash,Jolly,Motor Drive,31,31,31,31,31,31,4,252,0,0,0,252
Cresselia,Calm Mind,Moonlight,Moonblast,Psyshock,Wiki Berry,Bold,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Staraptor,Brave Bird,Double-edge,U-turn,Feather Dance,Muscle Band,Adamant,Reckless,31,31,31,31,31,31,4,252,0,0,0,252
