Pokémon Ranger♂ Denver,Denver,7,M
7
Team 1
Glaceon,Mirror Coat,Tail Whip,Sand Attack,Last Resort,Leftovers,Modest,Ice Body,31,0,25,31,25,31,220,0,0,220,0,44
Gardevoir,Psychic,Shadow Ball,Thunder Wave,Confuse Ray,Lum Berry,Timid,Synchronize,31,0,20,31,20,31,60,0,0,204,0,204
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
Team 2
Aggron,Rock Polish,Iron Head,Earthquake,Dragon Rush,Chople Berry,Jolly,Sturdy,31,31,25,0,25,31,44,220,0,0,0,220
Metagross,Magnet Rise,Rock Polish,Zen Headbutt,Meteor Mash,Occa Berry,Adamant,Clear Body,31,31,25,0,25,31,44,220,0,0,0,220
Flygon,Earthquake,Dragon Claw,Stone Edge,Dragon Dance,Soft Sand,Adamant,Levitate,31,31,25,0,25,31,44,220,0,0,0,220
M
Team 3
Jynx,Lovely Kiss,Dream Eater,Sweet Kiss,Energy Ball,Odd Incense,Timid,Dry Skin,31,31,31,31,31,31,4,0,0,252,0,252
Typhlosion,Flare Blitz,Earthquake,Shadow Claw,Aerial Ace,Shuca Berry,Adamant,Blaze,31,31,31,0,31,31,4,252,0,0,0,252
Nidoqueen,Earth Power,Sludge Bomb,Fire Blast,Blizzard,Wide Lens,Modest,Sheer Force,31,0,31,31,31,31,4,0,0,252,0,252
Team 4
Politoed,Belly Drum,Waterfall,Earthquake,Rest,Salac Berry,Careful,Drizzle,31,31,31,31,31,31,252,0,0,0,252,4
Kingdra,Hydro Pump,Ice Beam,Hurricane,Rain Dance,Wide Lens,Modest,Swift Swim,31,0,31,31,31,31,4,0,0,252,0,252
Zapdos,Double Team,Roost,Discharge,Heat Wave,Bright Powder,Timid,Pressure,31,31,31,31,31,31,252,0,4,0,0,252
