Hiker Don,Don,3,4
3
Team 1
Dragonair,Dragon Breath,Leer,Wrap,Safeguard,Cheri Berry,Docile,Shed Skin,31,31,0,0,0,31,108,108,0,0,0,108
Raticate,Endeavor,Super Fang,Scary Face,Quick Attack,Silk Scarf,Naive,Guts,31,31,0,0,0,31,108,108,0,0,0,108
Lunatone,Confusion,Cosmic Power,Light Screen,Sandstorm,Sitrus Berry,Quiet,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Team 2
Anorith,Metal Claw,Fury Cutter,Ancient Power,Water Gun,Scope Lens,Adamant,Battle Armor,0,31,0,0,0,31,0,108,0,0,0,108
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
Lairon,Metal Claw,Rock Tomb,Iron Defense,Protect,Metal Coat,Sassy,Sturdy,31,31,0,0,0,31,108,108,0,0,0,108
4
Team 3
Fearow,Drill Peck,Tri Attack,Facade,Roost,Sharp Beak,Adamant,Keen Eye,31,31,0,0,0,31,148,148,0,0,0,148
Kabutops,Slash,Dig,Night Slash,Metal Sound,Scope Lens,Adamant,Swift Swim,31,31,10,10,10,31,148,148,0,0,0,148
Hitmonlee,Blaze Kick,Close Combat,Focus Energy,Facade,Black Belt,Adamant,Limber,31,31,0,0,0,31,148,148,0,0,0,148
Team 4
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Chansey,Substitute,Seismic Toss,Soft-boiled,Minimize,Sitrus Berry,Relaxed,Serene Grace,31,31,31,31,31,31,148,0,148,0,148,0
Kingler,Crabhammer,Metal Claw,Knock Off,Protect,Scope Lens,Adamant,Hyper Cutter,31,31,10,10,10,31,148,148,0,0,0,148
