Ace Trainer♂ Donnie,Donnie,5,6,M
5
Team 1
Magneton,Shock Wave,Volt Switch,Thunder Wave,Flash Cannon,Choice Specs,Modest,Sturdy,31,10,10,31,10,31,148,0,0,148,0,148
Jynx,Mean Look,Perish Song,Protect,Lovely Kiss,Bright Powder,Bold,Dry Skin,31,15,31,31,15,15,148,4,148,148,4,4
Dewgong,Aqua Jet,Ice Shard,Fake Out,Protect,Razor Fang,Adamant,Thick Fat,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Hariyama,Sand Attack,Focus Punch,Rock Tomb,Fake Out,Bright Powder,Adamant,Thick Fat,31,31,15,15,15,31,148,148,4,4,4,148
Weezing,Will-o-wisp,Double Team,Sludge Bomb,Substitute,Leftovers,Calm,Levitate,31,31,31,31,31,31,148,4,4,148,148,4
Empoleon,Aqua Ring,Double Team,Whirlpool,Rest,Chesto Berry,Calm,Torrent,31,15,15,31,31,15,148,4,4,148,148,4
6
Team 3
Golduck,Psychic,Disable,Surf,Brick Break,Pecha Berry,Naive,Cloud Nine,20,31,20,31,20,31,0,60,0,204,0,204
Exeggutor,Giga Drain,Leech Seed,Double Team,Substitute,Leftovers,Calm,Chlorophyll,31,0,20,31,31,20,204,0,0,60,204,0
Toxicroak,Poison Jab,Drain Punch,Sucker Punch,Flatter,Black Glasses,Adamant,Dry Skin,31,31,20,0,20,31,60,204,0,0,0,204
M
Team 4
Garchomp,Earthquake,Outrage,Rock Tomb,Swords Dance,Focus Sash,Jolly,Rough Skin,31,31,31,0,31,31,4,252,0,0,0,252
Suicune,Calm Mind,Rest,Scald,Ice Beam,Chesto Berry,Bold,Pressure,31,31,31,31,31,31,252,0,252,0,0,4
Togekiss,Air Slash,Dazzling Gleam,Grass Knot,Fire Blast,Choice Scarf,Modest,Serene Grace,31,0,31,31,31,31,4,0,0,252,0,252
Team 5
Garchomp,Earthquake,Outrage,Rock Tomb,Swords Dance,Focus Sash,Jolly,Rough Skin,31,31,31,0,31,31,4,252,0,0,0,252
Suicune,Calm Mind,Rest,Scald,Ice Beam,Chesto Berry,Bold,Pressure,31,31,31,31,31,31,252,0,252,0,0,4
Latios,Draco Meteor,Surf,Psychic,Thunderbolt,Choice Specs,Timid,Levitate,31,0,31,31,31,31,4,0,0,252,0,252
