Waiter Duane,Duane,2,3
2
Team 1
Mawile,Crunch,Fake Tears,Iron Defense,Baton Pass,Bright Powder,Adamant,Intimidate,31,31,0,0,0,0,108,108,0,0,0,0
Nidorino,Double Kick,Water Pulse,Toxic Spikes,Flatter,Focus Band,Quirky,Poison Point,0,31,0,31,0,0,0,108,0,108,0,0
Plusle,Spark,Fake Tears,Quick Attack,Helping Hand,Petaya Berry,Docile,Plus,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Onix,Rock Slide,Bind,Dragon Breath,Sandstorm,Sitrus Berry,Adamant,Sturdy,31,31,0,0,0,0,108,108,0,0,0,0
Machoke,Low Kick,Rock Tomb,Facade,Scary Face,Focus Band,Adamant,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Kricketune,Fury Cutter,Sticky Web,Sing,Growl,Metronome,Jolly,Swarm,31,0,0,0,0,31,108,0,0,0,0,108
3
Team 3
Swellow,Fly,Endeavor,Facade,Quick Attack,Flame Orb,Adamant,Guts,31,31,0,0,0,31,108,108,0,0,0,108
Wormadam,Razor Leaf,Psybeam,Protect,Bug Buzz,Coba Berry,Modest,Overcoat,31,31,31,31,31,31,0,0,108,0,108,108
Wartortle,Aqua Tail,Bite,Rapid Spin,Yawn,Focus Band,Adamant,Torrent,31,31,0,0,31,0,108,108,0,0,108,0
