Poké Fan♂ Dusty,Dusty,2,3
2
Team 1
Porygon,Psybeam,Tri Attack,Recycle,Agility,Sitrus Berry,Relaxed,Download,31,0,31,0,0,0,108,0,108,0,0,0
Snubbull,Bite,Charm,Swagger,Scary Face,Scope Lens,Brave,Intimidate,31,31,0,0,0,0,108,108,0,0,0,0
Psyduck,Confusion,Fury Swipes,Aerial Ace,Disable,Persim Berry,Hasty,Cloud Nine,0,0,0,31,0,31,0,0,0,108,0,108
Team 2
Butterfree,Sleep Powder,Quiver Dance,Substitute,Bug Buzz,Leftovers,Timid,Compoundeyes,31,31,31,31,31,31,108,0,0,0,0,108
Dustox,Bug Buzz,Toxic,Psybeam,Whirlwind,Silver Powder,Modest,Shield Dust,31,0,0,31,0,0,108,0,0,108,0,0
Nidorino,Double Kick,Water Pulse,Toxic Spikes,Flatter,Focus Band,Quirky,Poison Point,0,31,0,31,0,0,0,108,0,108,0,0
3
Team 3
Linoone,Extreme Speed,Sand Attack,Covet,Tickle,Sitrus Berry,Adamant,Gluttony,31,31,0,0,0,31,108,108,0,0,0,108
Shelgon,Headbutt,Dragon Breath,Protect,Scary Face,Cheri Berry,Hardy,Overcoat,31,31,0,0,0,31,108,108,0,0,0,108
Marshtomp,Mud Shot,Water Gun,Rock Tomb,Mud-slap,Focus Band,Hardy,Torrent,31,31,31,31,31,31,108,108,0,108,0,0
