Idol Elena,Elena,1,2
1
Team 1
Bonsly,Fake Tears,Rock Throw,Copycat,Low Kick,Passho Berry,Careful,Sturdy,31,0,0,0,31,0,108,0,0,0,108,0
Combee,Sweet Scent,Gust,-,-,Quick Claw,Modest,Honey Gather,0,0,0,31,0,31,0,0,0,108,0,108
Buizel,Aqua Jet,Quick Attack,Brick Break,Growl,Wacan Berry,Jolly,Swift Swim,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Mudkip,Water Pulse,Endeavor,Rock Slide,Dig,Rindo Berry,Docile,Torrent,0,31,0,31,0,0,0,108,0,108,0,0
Cyndaquil,Flame Charge,Lava Plume,Aerial Ace,Rollout,Sitrus Berry,Docile,Blaze,0,31,0,31,0,0,0,108,0,108,0,0
Staravia,Endeavor,Aerial Ace,Whirlwind,Quick Attack,Charti Berry,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Team 3
Glameow,Fake Out,Fury Swipes,Growl,Attract,Quick Claw,Adamant,Limber,31,31,0,0,0,0,108,108,0,0,0,0
Riolu,Force Palm,Counter,Copycat,Screech,Focus Sash,Adamant,Prankster,0,31,0,0,0,31,0,108,0,0,0,108
Staryu,Surf,Minimize,Swift,Light Screen,Shell Bell,Modest,Illuminate,0,0,0,31,0,31,0,0,0,108,0,108
2
Team 4
Nosepass,Rock Slide,Shock Wave,Thunder Wave,Sandstorm,Hard Stone,Sassy,Sturdy,0,31,0,31,0,0,0,108,0,108,0,0
Munchlax,Metronome,Recycle,Stockpile,Fissure,Figy Berry,Relaxed,Gluttony,31,0,31,0,0,0,108,0,108,0,0,0
Azumarill,Waterfall,Facade,Play Rough,Aqua Jet,Sitrus Berry,Adamant,Huge Power,31,31,0,0,0,0,108,108,0,0,0,0
