Bird Keeper Elise,Elise,3,4
3
Team 1
Weepinbell,Razor Leaf,Acid,Wrap,Sweet Scent,Aguav Berry,Quiet,Gluttony,31,0,0,31,0,0,108,0,0,108,0,0
Wartortle,Aqua Tail,Bite,Rapid Spin,Yawn,Focus Band,Adamant,Torrent,31,31,0,0,31,0,108,108,0,0,108,0
Linoone,Extreme Speed,Sand Attack,Covet,Tickle,Sitrus Berry,Adamant,Gluttony,31,31,0,0,0,31,108,108,0,0,0,108
Team 2
Grotle,Mega Drain,Bite,Leech Seed,Synthesis,Big Root,Hardy,Overgrow,31,0,0,31,0,31,108,0,0,108,0,108
Magcargo,Rock Slide,Ember,Acid Armor,Sandstorm,Lax Incense,Gentle,Flame Body,31,31,0,31,0,0,108,108,0,108,0,0
Shelgon,Headbutt,Dragon Breath,Protect,Scary Face,Cheri Berry,Hardy,Overcoat,31,31,0,0,0,31,108,108,0,0,0,108
4
Team 3
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Noctowl,Air Slash,Aerial Ace,Psychic,Reflect,Persim Berry,Relaxed,Keen Eye,31,0,31,31,0,0,148,0,148,148,0,0
Electabuzz,Thunderbolt,Thunder Wave,Brick Break,Light Screen,Cheri Berry,Relaxed,Static,31,31,10,31,10,10,148,148,0,148,0,0
Team 4
Lumineon,Brine,Gust,Whirlpool,U-turn,Rindo Berry,Modest,Storm Drain,31,10,10,31,10,31,148,0,0,148,0,148
Wigglytuff,Sing,Disable,Wish,Dazzling Gleam,Silk Scarf,Relaxed,Competitive,31,0,31,0,31,0,108,0,108,0,108,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
