Rich Boy Elmer,Elmer,5,6
5
Team 1
Breloom,Protect,Spore,Leech Seed,Low Sweep,Toxic Orb,Jolly,Poison Heal,31,15,31,15,15,31,148,4,148,4,4,148
Whiscash,Earthquake,Water Pulse,Tickle,Sandstorm,Leftovers,Relaxed,Hydration,31,15,31,31,15,15,148,4,148,148,4,4
Marowak,Brick Break,Earthquake,Rock Tomb,Iron Head,Thick Club,Jolly,Battle Armor,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Froslass,Blizzard,Shadow Ball,Thunderbolt,Will-o-wisp,Focus Band,Timid,Cursed Body,31,31,31,31,31,31,148,4,4,148,4,148
Typhlosion,Will-o-wisp,Focus Blast,Double Team,Fire Blast,Wide Lens,Hardy,Blaze,31,31,31,31,31,31,148,0,0,148,0,148
Kangaskhan,Thunderbolt,Focus Punch,Ice Beam,Drain Punch,Pecha Berry,Rash,Scrappy,31,31,15,31,15,15,148,148,4,148,4,4
6
Team 3
Drifblim,Hypnosis,Dream Eater,Rest,Charge Beam,Lum Berry,Modest,Unburden,31,0,20,31,20,31,60,0,0,204,0,204
Shuckle,Wrap,Power Split,Toxic,Rest,Chesto Berry,Careful,Sturdy,31,20,31,0,31,20,204,60,0,0,204,0
Exeggutor,Giga Drain,Leech Seed,Double Team,Substitute,Leftovers,Calm,Chlorophyll,31,0,20,31,31,20,204,0,0,60,204,0
