Lass Elory,Elory,1,2
1
Team 1
Snorunt,Icy Wind,Headbutt,Protect,Bite,King's Rock,Brave,Moody,31,31,0,0,0,0,108,108,0,0,0,0
Machop,Seismic Toss,Revenge,Rock Tomb,Scary Face,Scope Lens,Adamant,No Guard,31,31,0,0,0,0,108,108,0,0,0,0
Shieldon,Take Down,Protect,Iron Defense,Metal Sound,Focus Sash,Sassy,Sturdy,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Chimchar,Fire Spin,Double Team,Nasty Plot,Grass Knot,Sitrus Berry,Timid,Blaze,0,0,0,31,0,31,0,0,0,108,0,108
Glameow,Fake Out,Fury Swipes,Growl,Attract,Quick Claw,Adamant,Limber,31,31,0,0,0,0,108,108,0,0,0,0
Shellos,Water Pulse,Mud-slap,Harden,Rain Dance,Lax Incense,Relaxed,Storm Drain,31,31,31,31,31,31,108,0,108,0,0,0
Team 3
Bonsly,Fake Tears,Rock Throw,Copycat,Low Kick,Passho Berry,Careful,Sturdy,31,0,0,0,31,0,108,0,0,0,108,0
Vulpix,Will-o-wisp,Confuse Ray,Fire Spin,Quick Attack,Focus Sash,Modest,Drought,31,31,31,31,31,31,0,0,0,108,0,108
Cubone,Bonemerang,Headbutt,Brick Break,Aerial Ace,Soft Sand,Adamant,Battle Armor,31,31,0,0,0,0,108,108,0,0,0,0
2
Team 4
Haunter,Shadow Punch,Confuse Ray,Spite,Grudge,Persim Berry,Rash,Levitate,0,31,0,0,0,31,0,108,0,0,0,108
Aipom,Fury Swipes,Sand Attack,Baton Pass,Agility,Silk Scarf,Jolly,Skill Link,0,31,0,0,0,31,0,108,0,0,0,108
Wailmer,Whirlpool,Roar,Defense Curl,Rollout,Mystic Water,Docile,Oblivious,31,0,31,0,0,0,108,0,108,0,0,0
