Dragon Tamer♂ Erich,Erich,5,6
5
Team 1
Blastoise,Double Team,Focus Punch,Aqua Jet,Gyro Ball,Iron Ball,Brave,Torrent,31,31,31,15,15,15,148,148,148,0,0,0
Granbull,Thunder Wave,Bite,Rock Slide,Giga Impact,Razor Claw,Brave,Intimidate,31,31,31,15,15,15,148,148,148,4,4,4
Sceptile,Leech Seed,Double Team,Dragon Pulse,Giga Drain,Leftovers,Bold,Overgrow,31,15,31,31,15,15,148,4,148,148,4,4
Team 2
Swampert,Ancient Power,Muddy Water,Avalanche,Focus Blast,Quick Claw,Sassy,Torrent,31,15,31,15,31,15,148,4,148,4,148,4
Omastar,Bubble Beam,Rock Blast,Tickle,Ancient Power,Shell Bell,Quirky,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Grumpig,Psybeam,Confuse Ray,Future Sight,Magic Coat,Petaya Berry,Relaxed,Thick Fat,31,10,31,10,31,10,148,0,148,0,148,0
6
Team 3
Mismagius,Psychic,Confuse Ray,Perish Song,Mean Look,Colbur Berry,Calm,Levitate,31,0,31,20,31,20,204,0,0,60,204,0
Skuntank,Explosion,Night Slash,Poison Jab,Play Rough,Bright Powder,Jolly,Aftermath,31,31,15,15,15,31,148,148,4,4,4,148
Froslass,Blizzard,Shadow Ball,Thunderbolt,Will-o-wisp,Focus Band,Timid,Cursed Body,31,31,31,31,31,31,148,4,4,148,4,148
