Picnicker Esther,Esther,1,2
1
Team 1
Pikachu,Spark,Brick Break,Iron Tail,Quick Attack,Light Ball,Jolly,Lightning Rod,15,31,15,0,15,31,0,108,0,0,0,108
Sandshrew,Dig,Rock Tomb,Sandstorm,Sand Attack,Soft Sand,Adamant,Sand Rush,31,31,0,0,0,0,108,108,0,0,0,0
Mime Jr.,Copycat,Confusion,Reflect,Light Screen,Lax Incense,Bold,Soundproof,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Squirtle,Aqua Tail,Bite,Withdraw,Protect,Focus Band,Adamant,Torrent,31,31,0,0,0,0,108,108,0,0,0,0
Charmander,Dragon Breath,Inferno,Fire Spin,Scary Face,Scope Lens,Modest,Blaze,31,0,0,31,0,0,108,0,0,108,0,0
Stunky,Poison Gas,Fury Swipes,Screech,Smokescreen,Poison Barb,Hardy,Aftermath,31,0,0,0,0,31,108,0,0,0,0,108
Team 3
Glameow,Fake Out,Fury Swipes,Growl,Attract,Quick Claw,Adamant,Limber,31,31,0,0,0,0,108,108,0,0,0,0
Snorunt,Icy Wind,Headbutt,Protect,Bite,King's Rock,Brave,Moody,31,31,0,0,0,0,108,108,0,0,0,0
Magnemite,Shock Wave,Supersonic,Metal Sound,Reflect,Rawst Berry,Modest,Sturdy,31,0,0,31,0,0,108,0,0,108,0,0
2
Team 4
Delcatty,Fake Out,Sing,Double Team,Shadow Ball,Sitrus Berry,Lonely,Cute Charm,0,0,0,31,0,31,0,0,0,108,0,108
Croagunk,Poison Jab,Mud-slap,Taunt,Swagger,Black Sludge,Adamant,Poison Touch,31,31,31,31,31,31,108,108,0,0,0,0
Phanpy,Rollout,Defense Curl,Rock Tomb,Sandstorm,Lax Incense,Adamant,Pickup,0,31,0,0,0,31,0,108,0,0,0,108
