Youngster Ezekiel,Ezekiel,1,2
1
Team 1
Remoraid,Bubble Beam,Aurora Beam,Psybeam,Protect,Petaya Berry,Modest,Sniper,31,0,0,31,0,0,108,0,0,108,0,0
Bonsly,Fake Tears,Rock Throw,Copycat,Low Kick,Passho Berry,Careful,Sturdy,31,0,0,0,31,0,108,0,0,0,108,0
Clefairy,Moonblast,Metronome,Encore,Sing,Lax Incense,Modest,Magic Guard,31,0,0,31,0,0,108,0,0,108,0,0
Team 2
Burmy,Bug Bite,String Shot,-,-,Choice Scarf,Adamant,Shed Skin,0,31,0,0,0,31,0,108,0,0,0,108
Starly,Wing Attack,Quick Attack,Thief,Take Down,Muscle Band,Jolly,Reckless,0,31,0,0,0,31,0,108,0,0,0,108
Teddiursa,Lick,Fake Tears,Brick Break,Rest,Chesto Berry,Relaxed,Pickup,31,0,31,0,0,0,108,0,108,0,0,0
Team 3
Combee,Sweet Scent,Gust,-,-,Quick Claw,Modest,Honey Gather,0,0,0,31,0,31,0,0,0,108,0,108
Duskull,Shadow Sneak,Will-o-wisp,Disable,Confuse Ray,Spell Tag,Impish,Levitate,31,31,31,31,31,31,108,0,108,0,0,0
Krabby,Crabhammer,Mud Shot,Flail,Guillotine,Focus Sash,Adamant,Hyper Cutter,0,31,0,0,0,31,0,108,0,0,0,108
2
Team 4
Parasect,Slash,Psybeam,Spore,Flash,Sticky Barb,Rash,Effect Spore,31,0,0,0,0,31,108,0,0,0,0,108
Nidorina,Double Kick,Bite,Aerial Ace,Flatter,Focus Band,Adamant,Poison Point,31,31,0,0,0,0,108,108,0,0,0,0
Murkrow,Dark Pulse,Fly,Torment,Taunt,Wacan Berry,Adamant,Prankster,0,31,0,0,0,31,0,108,0,0,0,108
