School Kid♂ Floyd,Floyd,5,6
5
Team 1
Empoleon,Aqua Ring,Double Team,Whirlpool,Rest,Chesto Berry,Calm,Torrent,31,15,15,31,31,15,148,4,4,148,148,4
Banette,Night Shade,Will-o-wisp,Spite,Knock Off,Rawst Berry,Sassy,Cursed Body,31,31,31,31,31,31,148,0,148,0,148,0
Camerupt,Eruption,Protect,Sandstorm,Rock Slide,Sitrus Berry,Quirky,Solid Rock,31,10,10,31,10,31,148,0,0,148,0,148
Team 2
Marowak,Brick Break,Earthquake,Rock Tomb,Iron Head,Thick Club,Jolly,Battle Armor,31,31,15,15,15,31,148,148,4,4,4,148
Swampert,Ancient Power,Muddy Water,Avalanche,Focus Blast,Quick Claw,Sassy,Torrent,31,15,31,15,31,15,148,4,148,4,148,4
Skarmory,Stealth Rock,Roar,Drill Peck,Roost,Leftovers,Careful,Sturdy,31,15,31,15,31,15,148,4,148,4,148,4
6
Team 3
Gengar,Shadow Ball,Psychic,Energy Ball,Focus Blast,Focus Sash,Timid,Cursed Body,31,0,20,31,20,31,60,0,0,204,0,204
Nidoqueen,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Steelix,Thunder Fang,Fire Fang,Ice Fang,Crunch,Occa Berry,Bold,Sturdy,31,0,31,31,20,20,204,0,204,60,0,0
