Dragon Tamer♂ Garett,Garett,5,6
5
Team 1
Meganium,Giga Drain,Leech Seed,Synthesis,Substitute,Leftovers,Calm,Overgrow,31,15,15,31,31,15,148,0,0,148,148,0
Electabuzz,Thunderbolt,Thunder Wave,Brick Break,Light Screen,Cheri Berry,Relaxed,Static,31,31,10,31,10,10,148,148,0,148,0,0
Girafarig,Psybeam,Thunderbolt,Wish,Skill Swap,Petaya Berry,Quiet,Sap Sipper,31,0,0,31,31,0,148,0,0,148,148,0
Team 2
Skuntank,Explosion,Night Slash,Poison Jab,Play Rough,Bright Powder,Jolly,Aftermath,31,31,15,15,15,31,148,148,4,4,4,148
Forretress,Gyro Ball,Counter,Spikes,Toxic Spikes,Occa Berry,Careful,Sturdy,31,31,15,15,31,15,148,148,4,4,148,4
Whiscash,Earthquake,Water Pulse,Tickle,Sandstorm,Leftovers,Relaxed,Hydration,31,15,31,31,15,15,148,4,148,148,4,4
6
Team 3
Venusaur,Skull Bash,Worry Seed,Earthquake,Petal Dance,Power Herb,Brave,Overgrow,31,31,15,15,15,31,148,148,0,0,0,148
Golduck,Psychic,Disable,Surf,Brick Break,Pecha Berry,Naive,Cloud Nine,20,31,20,31,20,31,0,60,0,204,0,204
Nidoking,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
