Gentleman Grady,Grady,4,5
4
Team 1
Electabuzz,Thunderbolt,Thunder Wave,Brick Break,Light Screen,Cheri Berry,Relaxed,Static,31,31,10,31,10,10,148,148,0,148,0,0
Chimecho,Psychic,Take Down,Heal Bell,Safeguard,Twisted Spoon,Sassy,Levitate,31,0,31,31,0,0,108,0,108,108,0,0
Grotle,Mega Drain,Bite,Leech Seed,Synthesis,Big Root,Hardy,Overgrow,31,0,0,31,0,31,108,0,0,108,0,108
Team 2
Seviper,Poison Tail,Bite,Glare,Screech,Scope Lens,Hardy,Shed Skin,31,31,10,10,10,31,148,148,0,0,0,148
Sealeo,Blizzard,Hail,Snore,Rest,Icy Rock,Relaxed,Ice Body,31,0,31,0,31,0,108,0,108,0,108,0
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
5
Team 3
Blastoise,Double Team,Focus Punch,Aqua Jet,Gyro Ball,Iron Ball,Brave,Torrent,31,31,31,15,15,15,148,148,148,0,0,0
Typhlosion,Will-o-wisp,Focus Blast,Double Team,Fire Blast,Wide Lens,Hardy,Blaze,31,31,31,31,31,31,148,0,0,148,0,148
Ambipom,Double Team,Baton Pass,Agility,Double Hit,Bright Powder,Impish,Technician,31,31,31,15,15,15,148,148,148,4,4,4
