Psychic Gunner,Gunner,7,M
7
Team 1
Gyarados,Dragon Dance,Waterfall,Earthquake,Ice Fang,Lum Berry,Adamant,Intimidate,31,31,25,0,25,31,44,220,0,0,0,220
Roserade,Leech Seed,Ingrain,Giga Drain,Substitute,Big Root,Bold,Poison Point,31,0,31,31,20,20,204,0,204,60,0,0
Floatzel,Waterfall,Aqua Jet,Ice Beam,Focus Blast,Life Orb,Naive,Swift Swim,20,31,20,31,20,31,0,60,0,204,0,204
M
Team 2
Milotic,Hydro Pump,Ice Beam,Recover,Hypnosis,Salac Berry,Timid,Competitive,31,0,25,31,25,31,36,0,0,220,0,252
Magnezone,Thunderbolt,Flash Cannon,Tri Attack,Volt Switch,Quick Claw,Modest,Sturdy,31,0,25,31,25,31,44,0,0,220,0,220
Umbreon,Moonlight,Dark Pulse,Yawn,Protect,Leftovers,Bold,Inner Focus,31,0,31,25,31,25,220,0,220,0,44,0
Team 3
Jynx,Ice Beam,Psychic,Focus Blast,Shadow Ball,Wise Glasses,Modest,Dry Skin,31,0,31,31,31,31,4,0,0,252,0,252
Regirock,Superpower,Stone Edge,Rock Tomb,Strength,Passho Berry,Adamant,Sturdy,31,31,31,31,31,31,4,252,0,0,0,252
Skarmory,Drill Peck,Metal Sound,Double Team,Sand Attack,Occa Berry,Jolly,Sturdy,31,31,31,0,31,31,4,252,0,0,0,252
