Worker Hans,Hans,M
M
Team 1
Altaria,Roost,Dragon Pulse,Hyper Voice,Dragon Claw,Dragon Fang,Modest,Cloud Nine,31,31,31,31,31,31,252,0,0,252,0,4
Nidoqueen,Stone Edge,Avalanche,Iron Tail,Aerial Ace,Bright Powder,Brave,Poison Point,31,31,31,31,31,31,252,252,4,0,0,0
Manectric,Thunderbolt,Overheat,Roar,Thunder Wave,Shuca Berry,Timid,Lightning Rod,31,0,31,31,31,31,4,0,0,252,0,252
Team 2
Articuno,Sheer Cold,Ice Beam,Aerial Ace,Roar,Wacan Berry,Calm,Pressure,31,31,31,31,31,31,252,0,0,4,252,0
Heatran,Explosion,Fire Fang,Crunch,Iron Head,Quick Claw,Adamant,Flash Fire,31,31,31,31,31,31,4,252,0,0,0,252
Zapdos,Rain Dance,Thunder,Charge Beam,Drill Peck,Sharp Beak,Timid,Static,31,31,31,31,31,31,4,0,0,252,0,252
Team 3
Politoed,Scald,Ice Beam,Protect,Perish Song,Sitrus Berry,Bold,Drizzle,31,31,31,31,31,31,252,0,4,0,0,252
Registeel,Explosion,Iron Head,Flash Cannon,Thunderbolt,Life Orb,Brave,Clear Body,31,31,31,31,31,31,4,252,0,252,0,0
Claydol,Iron Defense,Body Press,Ice Beam,Earth Power,Leftovers,Bold,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Team 4
Politoed,Scald,Ice Beam,Protect,Perish Song,Sitrus Berry,Bold,Drizzle,31,31,31,31,31,31,252,0,4,0,0,252
Kingdra,Hydro Pump,Ice Beam,Hurricane,Rain Dance,Wide Lens,Modest,Swift Swim,31,0,31,31,31,31,4,0,0,252,0,252
Scizor,Bullet Punch,Quick Attack,Superpower,U-turn,Choice Band,Adamant,Technician,31,31,31,0,31,31,236,252,20,0,0,0
