Pokémon Breeder♂ Harvey,Harvey,7,M
7
Team 1
Typhlosion,Eruption,Earthquake,Endure,Reversal,Salac Berry,Docile,Blaze,0,31,25,31,25,31,0,44,0,220,0,220
Gyarados,Dragon Dance,Waterfall,Earthquake,Ice Fang,Lum Berry,Adamant,Intimidate,31,31,25,0,25,31,44,220,0,0,0,220
Jolteon,Thunderbolt,Volt Switch,Shadow Ball,Yawn,Magnet,Timid,Volt Absorb,31,0,25,31,25,31,36,0,0,220,0,252
M
Team 2
Salamence,Fly,Aerial Ace,Steel Wing,Roost,Cheri Berry,Adamant,Intimidate,31,31,25,0,25,31,44,220,0,0,0,220
Snorlax,Body Slam,Earthquake,Curse,Yawn,Leftovers,Adamant,Immunity,31,31,31,0,25,25,44,220,220,0,0,0
Walrein,Rest,Sleep Talk,Sheer Cold,Fissure,Quick Claw,Impish,Thick Fat,31,25,31,0,31,25,220,44,220,0,0,0
Team 3
Bastiodon,Iron Head,Iron Tail,Metal Burst,Stone Edge,Muscle Band,Adamant,Sturdy,31,31,31,31,31,31,4,252,0,0,0,252
Exploud,Giga Impact,Earthquake,Avalanche,Crunch,Quick Claw,Careful,Soundproof,31,31,31,31,31,31,252,4,0,0,252,0
Articuno,Swagger,Hail,Roost,Blizzard,Icy Rock,Calm,Snow Cloak,31,31,31,31,31,31,252,0,0,0,252,4
