Guitarist Herbert,Herbert,3,4
3
Team 1
Quilava,Flame Wheel,Fury Swipes,Swift,Smokescreen,Focus Band,Adamant,Blaze,31,31,0,0,31,0,108,108,0,0,108,0
Monferno,Mach Punch,Feint,Torment,U-turn,Coba Berry,Hardy,Blaze,31,31,0,0,0,31,108,108,0,0,0,108
Gabite,Dragon Claw,Take Down,Sand Attack,Roar,Yache Berry,Hardy,Rough Skin,31,31,0,0,0,31,108,108,0,0,0,108
Team 2
Bibarel,Defense Curl,Rollout,Waterfall,Yawn,Metronome,Adamant,Simple,31,31,31,0,0,0,108,108,108,0,0,0
Graveler,Rollout,Rock Throw,Defense Curl,Brick Break,Focus Band,Adamant,Sturdy,0,31,0,0,0,31,0,108,0,0,0,108
Tangela,Mega Drain,Slam,Leech Seed,Bind,Lax Incense,Hardy,Regenerator,31,0,31,0,31,0,108,0,108,0,108,0
4
Team 3
Clefable,Moonblast,Flamethrower,Thunderbolt,Moonlight,Life Orb,Modest,Magic Guard,31,10,10,31,10,31,148,0,0,148,0,148
Hitmonlee,Blaze Kick,Close Combat,Focus Energy,Facade,Black Belt,Adamant,Limber,31,31,0,0,0,31,148,148,0,0,0,148
Gorebyss,Hydro Pump,Psychic,Baton Pass,Shell Smash,Focus Sash,Modest,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
Team 4
Bellossom,Solar Beam,Safeguard,Sunny Day,Synthesis,Power Herb,Modest,Chlorophyll,31,10,10,31,10,31,148,0,0,148,0,148
Banette,Night Shade,Will-o-wisp,Spite,Knock Off,Rawst Berry,Sassy,Cursed Body,31,31,31,31,31,31,148,0,148,0,148,0
Ninjask,Baton Pass,Swords Dance,Endure,Dig,Petaya Berry,Mild,Speed Boost,31,31,10,10,10,31,148,148,0,0,0,148
Team 5
Grumpig,Psybeam,Confuse Ray,Future Sight,Magic Coat,Petaya Berry,Relaxed,Thick Fat,31,10,31,10,31,10,148,0,148,0,148,0
Zangoose,Slash,Double Kick,Roar,Quick Attack,Persim Berry,Hardy,Toxic Boost,31,31,10,10,10,31,148,148,0,0,0,148
Tropius,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing,Sitrus Berry,Hardy,Chlorophyll,31,31,10,10,10,31,148,148,0,0,0,148
