Ace Trainer♂ Herman,Herman,4,5,6,M
4
Team 1
Tropius,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing,Sitrus Berry,Hardy,Chlorophyll,31,31,10,10,10,31,148,148,0,0,0,148
Wigglytuff,Sing,Disable,Wish,Dazzling Gleam,Silk Scarf,Relaxed,Competitive,31,0,31,0,31,0,108,0,108,0,108,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
Team 2
Purugly,Slash,U-turn,Attract,Fake Out,Silk Scarf,Adamant,Thick Fat,31,31,0,0,31,0,148,148,0,0,148,0
Seadra,Aurora Beam,Smokescreen,Water Gun,Rain Dance,Mystic Water,Sassy,Sniper,31,0,0,31,0,31,108,0,0,108,0,108
Chimecho,Psychic,Take Down,Heal Bell,Safeguard,Twisted Spoon,Sassy,Levitate,31,0,31,31,0,0,108,0,108,108,0,0
5
Team 3
Staraptor,Brave Bird,Close Combat,U-turn,Facade,Choice Band,Adamant,Intimidate,31,31,15,15,15,31,148,148,4,4,4,148
Rhydon,Ice Beam,Thunderbolt,Dragon Pulse,Surf,Wise Glasses,Quiet,Lightning Rod,31,15,31,31,15,15,148,4,148,148,4,4
Weezing,Will-o-wisp,Double Team,Sludge Bomb,Substitute,Leftovers,Calm,Levitate,31,31,31,31,31,31,148,4,4,148,148,4
6
Team 4
Floatzel,Waterfall,Aqua Jet,Ice Beam,Focus Blast,Life Orb,Naive,Swift Swim,20,31,20,31,20,31,0,60,0,204,0,204
Weavile,Night Slash,Ice Punch,Ice Shard,Shadow Claw,Razor Claw,Jolly,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
M
Team 5
Rotom,Hydro Pump,Thunderbolt,Volt Switch,Will-o-wisp,Wiki Berry,Bold,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Arcanine,Flamethrower,Dragon Pulse,Will-o-wisp,Morning Sun,Leftovers,Bold,Intimidate,31,31,31,31,31,31,252,0,116,0,0,140
Metagross,Ice Punch,Bullet Punch,Zen Headbutt,Meteor Mash,Figy Berry,Adamant,Clear Body,31,31,31,0,31,31,4,252,68,0,4,180
Team 6
Rotom,Hydro Pump,Thunderbolt,Volt Switch,Will-o-wisp,Wiki Berry,Bold,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Zapdos,Discharge,Heat Wave,Roost,Hurricane,Leftovers,Bold,Static,31,0,31,31,31,31,252,0,252,4,0,0
Metagross,Ice Punch,Bullet Punch,Zen Headbutt,Meteor Mash,Figy Berry,Adamant,Clear Body,31,31,31,0,31,31,4,252,68,0,4,180
