Sailor Hugh,Hugh,6,7
6
Team 1
Abomasnow,Blizzard,Earthquake,Brick Break,Giga Drain,Occa Berry,Mild,Snow Warning,31,31,20,31,20,20,204,60,0,204,0,0
Donphan,Earthquake,Ice Shard,Rock Slide,Play Rough,Lum Berry,Adamant,Sturdy,31,31,20,0,20,31,60,204,20,0,20,204
Ampharos,Thunder Wave,Facade,Fling,Rest,Toxic Orb,Mild,Static,31,20,31,20,31,0,204,0,60,0,204,0
Team 2
Alakazam,Psyshock,Psychic,Focus Blast,Energy Ball,Life Orb,Modest,Magic Guard,31,0,20,31,20,31,60,0,0,204,0,204
Roserade,Leech Seed,Ingrain,Giga Drain,Substitute,Big Root,Bold,Poison Point,31,0,31,31,20,20,204,0,204,60,0,0
Bastiodon,Metal Burst,Taunt,Iron Head,Stone Edge,Custap Berry,Adamant,Sturdy,31,31,20,0,20,31,60,204,0,0,0,204
7
Team 3
Metagross,Magnet Rise,Rock Polish,Zen Headbutt,Meteor Mash,Occa Berry,Adamant,Clear Body,31,31,25,0,25,31,44,220,0,0,0,220
Jolteon,Thunderbolt,Volt Switch,Shadow Ball,Yawn,Magnet,Timid,Volt Absorb,31,0,25,31,25,31,36,0,0,220,0,252
Flareon,Will-o-wisp,Flare Blitz,Iron Tail,Quick Attack,Charcoal,Adamant,Flash Fire,31,31,31,31,31,31,220,220,44,0,0,0
