Ace Trainer♀ Irene,Irene,7,M
7
Team 1
Marowak,Earthquake,Double-edge,Aerial Ace,Brick Break,Thick Club,Jolly,Battle Armor,31,31,31,31,31,31,44,220,0,0,0,220
Umbreon,Moonlight,Dark Pulse,Yawn,Protect,Leftovers,Bold,Inner Focus,31,0,31,25,31,25,220,0,220,0,44,0
Arcanine,Flamethrower,Dragon Pulse,Will-o-wisp,Extreme Speed,Lum Berry,Modest,Intimidate,31,31,31,31,31,31,68,0,0,220,0,220
Team 2
Porygon-Z,Tri Attack,Shadow Ball,Ice Beam,Thunderbolt,Choice Specs,Modest,Download,31,0,25,31,25,31,36,0,0,252,0,220
Blaziken,Protect,Close Combat,Flare Blitz,Baton Pass,Life Orb,Jolly,Blaze,31,31,25,0,25,31,68,220,0,0,0,220
Crobat,Brave Bird,Zen Headbutt,Cross Poison,U-turn,Sharp Beak,Jolly,Inner Focus,31,31,25,0,25,31,36,220,0,0,0,252
M
Team 3
Espeon,Reflect,Dazzling Gleam,Baton Pass,Light Screen,Light Clay,Timid,Magic Bounce,31,0,31,31,31,31,252,0,0,4,0,252
Cloyster,Shell Smash,Icicle Spear,Rock Blast,Razor Shell,King's Rock,Adamant,Skill Link,31,31,31,31,31,31,4,252,0,0,0,252
Raikou,Thunderbolt,Scald,Shadow Ball,Calm Mind,Shuca Berry,Timid,Pressure,31,0,31,31,31,31,4,0,0,252,0,252
Team 4
Espeon,Reflect,Dazzling Gleam,Baton Pass,Light Screen,Light Clay,Timid,Magic Bounce,31,0,31,31,31,31,252,0,0,4,0,252
Blaziken,Flare Blitz,Close Combat,Thunder Punch,Swords Dance,Expert Belt,Adamant,Speed Boost,31,31,31,0,31,31,4,252,0,0,0,252
Clefable,Moonblast,Calm Mind,Minimize,Moonlight,Sitrus Berry,Bold,Unaware,31,0,31,31,31,31,252,0,252,4,0,0
