Guitarist Irvin,Irvin,1,2
1
Team 1
Bulbasaur,Razor Leaf,Take Down,Sleep Powder,Leech Seed,Bright Powder,Adamant,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Croagunk,Poison Jab,Mud-slap,Taunt,Swagger,Black Sludge,Adamant,Poison Touch,31,31,31,31,31,31,108,108,0,0,0,0
Drifloon,Shadow Ball,Will-o-wisp,Gust,Astonish,Grip Claw,Quirky,Aftermath,31,31,31,31,31,31,108,0,0,0,0,108
Team 2
Starly,Wing Attack,Quick Attack,Growl,Endeavor,Sharp Beak,Adamant,Keen Eye,0,31,0,0,0,31,0,108,0,0,0,108
Machop,Seismic Toss,Revenge,Rock Tomb,Scary Face,Scope Lens,Adamant,No Guard,31,31,0,0,0,0,108,108,0,0,0,0
Pidgeotto,Aerial Ace,Quick Attack,Feather Dance,Sand Attack,White Herb,Adamant,Big Pecks,0,31,0,0,0,31,0,108,0,0,0,108
Team 3
Geodude,Bulldoze,Rock Blast,Strength,Protect,Sitrus Berry,Brave,Sturdy,31,31,0,0,0,0,108,108,0,0,0,0
Doduo,Fury Attack,Uproar,Quick Attack,Rest,Liechi Berry,Lonely,Early Bird,0,31,0,0,0,31,0,108,0,0,0,108
Grimer,Sludge,Rock Tomb,Acid Armor,Minimize,Black Sludge,Adamant,Stench,31,31,0,0,0,0,108,108,0,0,0,0
2
Team 4
Azumarill,Waterfall,Facade,Play Rough,Aqua Jet,Sitrus Berry,Adamant,Huge Power,31,31,0,0,0,0,108,108,0,0,0,0
Yanma,Bug Buzz,Air Slash,Double Team,Detect,Lax Incense,Modest,Speed Boost,0,0,0,31,0,31,0,0,0,108,0,108
Sableye,Will-o-wisp,Confuse Ray,Night Shade,Fake Out,Black Glasses,Lonely,Prankster,31,31,31,31,31,31,108,0,0,0,0,108
