Black Belt Irving,Irving,4,5
4
Team 1
Banette,Night Shade,Will-o-wisp,Spite,Knock Off,Rawst Berry,Sassy,Cursed Body,31,31,31,31,31,31,148,0,148,0,148,0
Girafarig,Psybeam,Thunderbolt,Wish,Skill Swap,Petaya Berry,Quiet,Sap Sipper,31,0,0,31,31,0,148,0,0,148,148,0
Sandslash,Crush Claw,Rock Slide,Earthquake,Sandstorm,Sitrus Berry,Adamant,Sand Rush,31,31,0,0,0,31,148,148,0,0,0,148
Team 2
Relicanth,Ancient Power,Water Pulse,Harden,Amnesia,Liechi Berry,Adamant,Sturdy,31,31,31,10,10,10,148,148,148,0,0,0
Cloyster,Icicle Spear,Rock Blast,Razor Shell,Shell Smash,Focus Sash,Adamant,Skill Link,31,31,31,31,31,31,148,148,0,0,0,148
Zangoose,Slash,Double Kick,Roar,Quick Attack,Persim Berry,Hardy,Toxic Boost,31,31,10,10,10,31,148,148,0,0,0,148
Team 3
Swalot,Stockpile,Ice Beam,Shadow Ball,Sludge Bomb,Black Sludge,Modest,Sticky Hold,31,10,10,31,10,31,148,0,0,148,0,148
Wigglytuff,Sing,Disable,Wish,Dazzling Gleam,Silk Scarf,Relaxed,Competitive,31,0,31,0,31,0,108,0,108,0,108,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
Team 4
Huntail,Whirlpool,Scary Face,Screech,Bite,Persim Berry,Quiet,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Kabutops,Slash,Dig,Night Slash,Metal Sound,Scope Lens,Adamant,Swift Swim,31,31,10,10,10,31,148,148,0,0,0,148
Torkoal,Lava Plume,Earthquake,Stealth Rock,Yawn,Sitrus Berry,Relaxed,Drought,31,10,31,10,31,10,148,0,148,0,148,0
5
Team 5
Glalie,Protect,Substitute,Frost Breath,Sheer Cold,Leftovers,Timid,Moody,31,15,15,31,15,31,148,4,4,148,4,148
Lanturn,Scald,Shock Wave,Ice Beam,Double Team,Rindo Berry,Bold,Volt Absorb,31,15,31,31,15,15,148,4,148,148,4,4
Infernape,Fake Out,Mach Punch,U-turn,Overheat,Coba Berry,Quirky,Blaze,31,31,15,15,15,31,148,148,4,4,4,148
