Beauty Jaclyn,Jaclyn,M
M
Team 1
Nidoqueen,Earth Power,Sludge Bomb,Fire Blast,Blizzard,Wide Lens,Modest,Sheer Force,31,0,31,31,31,31,4,0,0,252,0,252
Cresselia,Double Team,Moonlight,Calm Mind,Ice Beam,Lum Berry,Bold,Levitate,31,31,31,31,31,31,252,0,252,0,4,0
Skuntank,Dark Pulse,Flamethrower,Toxic,Double Team,Leftovers,Timid,Aftermath,31,0,31,31,31,31,4,0,0,252,0,252
Team 2
Flygon,Boomburst,Draco Meteor,Earth Power,Flamethrower,Choice Specs,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Starmie,Hydro Pump,Dazzling Gleam,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,31,31,31,31,31,4,0,0,252,0,252
Snorlax,Body Slam,Curse,Heavy Slam,Yawn,Figy Berry,Adamant,Gluttony,31,31,31,31,31,31,4,252,252,0,0,0
Team 3
Flygon,Boomburst,Draco Meteor,Earth Power,Flamethrower,Choice Specs,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Slaking,Giga Impact,Earthquake,Night Slash,Hammer Arm,Sitrus Berry,Adamant,Truant,31,31,31,31,31,31,252,252,0,0,0,4
Infernape,Close Combat,Fire Punch,Fake Out,Mach Punch,Focus Sash,Jolly,Iron Fist,31,31,31,31,31,31,4,252,0,0,0,252
