Rich Boy Jaden,Jaden,1,2
1
Team 1
Doduo,Fury Attack,Uproar,Quick Attack,Rest,Liechi Berry,Jolly,Early Bird,0,31,0,0,0,31,0,108,0,0,0,108
Budew,Giga Drain,Stun Spore,Worry Seed,Growth,Big Root,Timid,Poison Point,0,0,0,31,0,31,0,0,0,108,0,108
Voltorb,Spark,Screech,Rollout,Light Screen,Lax Incense,Adamant,Aftermath,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Cherubi,Magical Leaf,Leech Seed,Sunny Day,Take Down,Occa Berry,Modest,Chlorophyll,0,0,0,31,0,31,0,0,0,108,0,108
Squirtle,Water Pulse,Brine,Ice Beam,Protect,Sitrus Berry,Modest,Torrent,31,0,0,31,0,0,108,0,0,108,0,0
Cranidos,Headbutt,Rock Slide,Scary Face,Leer,King's Rock,Adamant,Mold Breaker,0,31,0,0,0,31,0,108,0,0,0,108
2
Team 3
Nidorina,Double Kick,Bite,Aerial Ace,Flatter,Focus Band,Adamant,Poison Point,31,31,0,0,0,0,108,108,0,0,0,0
Gloom,Petal Dance,Acid,Stun Spore,Moonlight,Persim Berry,Modest,Chlorophyll,31,0,0,31,0,0,108,0,0,108,0,0
Azumarill,Waterfall,Facade,Play Rough,Aqua Jet,Sitrus Berry,Adamant,Huge Power,31,31,0,0,0,0,108,108,0,0,0,0
