Collector Jamison,Jamison,2,3
2
Team 1
Chikorita,Body Slam,Bullet Seed,Growl,Light Screen,Bright Powder,Adamant,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Ariados,Sticky Web,Toxic Spikes,Night Shade,Toxic Thread,Focus Sash,Timid,Insomnia,31,0,0,0,0,31,108,0,0,0,0,108
Kadabra,Confusion,Role Play,Future Sight,Disable,Twisted Spoon,Modest,Inner Focus,0,0,0,31,0,31,0,0,0,108,0,108
Team 2
Poliwhirl,Water Pulse,Earth Power,Hypnosis,Rain Dance,Petaya Berry,Quirky,Water Absorb,31,0,0,31,0,0,108,0,0,108,0,0
Corsola,Bubble Beam,Mirror Coat,Attract,Ancient Power,Focus Sash,Impish,Natural Cure,31,0,0,31,0,0,108,0,0,108,0,0
Togetic,Aerial Ace,Dazzling Gleam,Wish,Follow Me,Lax Incense,Relaxed,Serene Grace,31,0,31,0,0,0,108,0,108,0,0,0
3
Team 3
Sneasel,Ice Shard,Fake Out,Ice Punch,Throat Chop,Focus Sash,Adamant,Pickpocket,31,31,0,0,0,31,108,108,0,0,0,108
Wailmer,Whirlpool,Roar,Defense Curl,Rollout,Mystic Water,Docile,Oblivious,31,0,31,0,0,0,108,0,108,0,0,0
Machoke,Low Kick,Rock Tomb,Facade,Scary Face,Focus Band,Adamant,Guts,0,31,0,0,0,31,0,108,0,0,0,108
