Ace Trainer♀ Jane,Jane,5,6,M
5
Team 1
Venusaur,Skull Bash,Worry Seed,Earthquake,Petal Dance,Power Herb,Brave,Overgrow,31,31,15,15,15,31,148,148,0,0,0,148
Skarmory,Stealth Rock,Roar,Drill Peck,Roost,Leftovers,Careful,Sturdy,31,15,31,15,31,15,148,4,148,4,148,4
Froslass,Blizzard,Shadow Ball,Thunderbolt,Will-o-wisp,Focus Band,Timid,Cursed Body,31,31,31,31,31,31,148,4,4,148,4,148
Team 2
Torterra,Sunny Day,Synthesis,Solar Beam,Stone Edge,Heat Rock,Serious,Overgrow,31,31,15,31,15,15,148,148,4,148,4,4
Vespiquen,Attack Order,Slash,Defend Order,-,Razor Claw,Adamant,Pressure,31,31,15,15,15,31,148,148,4,4,4,148
Feraligatr,Scary Face,Waterfall,Rock Slide,Ice Fang,King's Rock,Jolly,Torrent,31,31,15,15,15,31,148,148,0,0,0,148
6
Team 3
Gengar,Shadow Ball,Psychic,Energy Ball,Focus Blast,Focus Sash,Timid,Cursed Body,31,0,20,31,20,31,60,0,0,204,0,204
Charizard,Flamethrower,Sunny Day,Focus Blast,Ancient Power,Charti Berry,Modest,Blaze,31,15,15,31,15,31,148,0,0,148,0,148
Froslass,Blizzard,Shadow Ball,Thunderbolt,Will-o-wisp,Focus Band,Timid,Cursed Body,31,31,31,31,31,31,148,4,4,148,4,148
M
Team 4
Ninetales,Solar Beam,Fire Blast,Hex,Will-o-wisp,Focus Sash,Timid,Drought,31,31,31,31,31,31,4,0,0,252,0,252
Venusaur,Solar Beam,Sludge Bomb,Weather Ball,Earth Power,Life Orb,Modest,Chlorophyll,31,0,31,31,31,31,4,0,0,252,0,252
Dragonite,Outrage,Earthquake,Fire Punch,Dragon Dance,Lum Berry,Jolly,Multiscale,31,31,31,0,31,31,4,252,0,0,0,252
Team 5
Ninetales,Solar Beam,Fire Blast,Hex,Will-o-wisp,Heat Rock,Timid,Drought,31,31,31,31,31,31,4,0,0,252,0,252
Shiftry,Solar Beam,Dark Pulse,Icy Wind,Nasty Plot,Focus Sash,Timid,Chlorophyll,31,0,31,31,31,31,4,0,0,252,0,252
Latios,Draco Meteor,Surf,Psychic,Thunderbolt,Choice Specs,Timid,Levitate,31,0,31,31,31,31,4,0,0,252,0,252
